Name,S1,S2,S3,S4,Cluster
"COLUMN: 78 - Popn count (2015) (per 100,000)",9.456295323138348e-5,0.00045729296610598887,4.530163737415102e-18,0.0001857622507892013,D
COLUMN: 21 | CATEGORY: '2016 ELECTION' | VARIABLE: '' | UNITS: '(%)'' | COVERAGE: '100.0%',0.0005979181227197455,0.09432232067097533,0.0021816372427788215,0.00012897877503743017,A
COLUMN: 998 | CATEGORY: 'COVID-19 (05-07-2020)' | VARIABLE: 'Case rate (per million)' | UNITS: 'Rate'' | COVERAGE: '100.0%',0.11120639987652418,0.0009681383783511204,1.3890128718980287e-16,0.18291425247522045,D
COLUMN: 999 | CATEGORY: 'COVID-19 (05-07-2020)' | VARIABLE: 'Death rate (per million)' | UNITS: 'Rate'' | COVERAGE: '100.0%',2.8794871820504302e-18,2.2519800287943866e-17,4.530163737415102e-18,0.618117464676891,C
COLUMN: 1000 | CATEGORY: 'COVID-19 (05-07-2020)' | VARIABLE: 'Worst week - cases (weekly cases per million)' | UNITS: 'Rate'' | COVERAGE: '100.0%',0.05788874292718511,0.003147390638479081,1.0016282018348507e-10,0.04842149492688824,D
COLUMN: 1001 | CATEGORY: 'COVID-19 (05-07-2020)' | VARIABLE: 'Worst week - deaths (weekly deaths per million)' | UNITS: 'Rate'' | COVERAGE: '78.5%',2.8794871820504302e-18,2.2519800287943866e-17,4.530163737415102e-18,0.41449704438347273,C
COLUMN: 1002 | CATEGORY: 'COVID-19 (06-17-2020)' | VARIABLE: 'Case rate (per million)' | UNITS: 'Rate'' | COVERAGE: '100.0%',0.3245693645470843,1.769392593258565e-11,0.0004828578870402895,0.22939539911714105,D
COLUMN: 1003 | CATEGORY: 'COVID-19 (06-17-2020)' | VARIABLE: 'Death rate (per million)' | UNITS: 'Rate'' | COVERAGE: '100.0%',2.8794871820504302e-18,2.2519800287943866e-17,8.221133829027605e-17,1.0,C
COLUMN: 1004 | CATEGORY: 'COVID-19 (06-17-2020)' | VARIABLE: 'Worst week - cases (weekly cases per million)' | UNITS: 'Rate'' | COVERAGE: '95.7%',0.12723952964568364,5.572170599420528e-8,0.005550682303424871,0.037979032831026716,D
COLUMN: 1005 | CATEGORY: 'COVID-19 (06-17-2020)' | VARIABLE: 'Worst week - deaths (weekly deaths per million)' | UNITS: 'Rate'' | COVERAGE: '59.9%',1.1637974649998827e-7,0.1146516467038525,0.3354152652091043,0.4115195489791287,C
COLUMN: 1006 | CATEGORY: 'COVID-19 (07-27-2020)' | VARIABLE: 'Case rate (per million)' | UNITS: 'Rate'' | COVERAGE: '100.0%',0.7160206629520923,0.14750073671762573,0.19240279507196045,0.15323864864098777,D
COLUMN: 1007 | CATEGORY: 'COVID-19 (07-27-2020)' | VARIABLE: 'Death rate (per million)' | UNITS: 'Rate'' | COVERAGE: '100.0%',4.870615909626762e-10,2.2519800287943866e-17,0.3870264049722819,0.8998731870009472,C
