Signal A (k-means clustering; remapped)
AL Perry
AK Denali
AK Yukon-Koyukuk
AK Southeast Fairbanks
AK Valdez-Cordova
AK Yakutat
AK Hoonah-Angoon
AK Skagway
AK Haines
AK Wrangell
AK Aleutians East
AK Lake and Peninsula
AK Bristol Bay
AK Kusilvak
AR Calhoun
AR Cleveland
AR Lafayette
AR Montgomery
AR Newton
AR Prairie
AR Randolph
CA Alpine
CA Sierra
CO Baca
CO Bent
CO Cheyenne
CO Conejos
CO Costilla
CO Crowley
CO Custer
CO Dolores
CO Grand
CO Hinsdale
CO Jackson
CO Kiowa
CO Mineral
CO Ouray
CO Phillips
CO Prowers
CO Saguache
CO San Juan
CO San Miguel
CO Sedgwick
FL Calhoun
FL Gilchrist
FL Liberty
GA Chattahoochee
GA Clay
GA Echols
GA Glascock
GA Jasper
GA Jenkins
GA Montgomery
GA Quitman
GA Stewart
GA Taliaferro
GA Treutlen
GA Warren
HI Kalawao
ID Adams
ID Bear Lake
ID Boundary
ID Butte
ID Camas
ID Caribou
ID Clark
ID Clearwater
ID Custer
ID Franklin
ID Fremont
ID Idaho
ID Jefferson
ID Lemhi
ID Lewis
ID Oneida
ID Power
ID Teton
ID Washington
IL Putnam
IL Hancock
IL Gallatin
IL Scott
IL Cumberland
IL Calhoun
IL Hardin
IL Edwards
IL Stark
IL Pope
IL Clay
IL Schuyler
IL Cass
IL Washington
IL Brown
IL Moultrie
IL Pike
IL Menard
IN Benton
IN Crawford
IN Dubois
IN Fayette
IN Jay
IN Jefferson
IN Martin
IN Ohio
IN Owen
IN Pike
IN Spencer
IN Switzerland
IN Union
IN Warren
IN Wells
IA Adair
IA Adams
IA Audubon
IA Butler
IA Calhoun
IA Chickasaw
IA Davis
IA Decatur
IA Dickinson
IA Emmet
IA Fremont
IA Greene
IA Grundy
IA Hancock
IA Harrison
IA Ida
IA Keokuk
IA Kossuth
IA Lyon
IA Osceola
IA Palo Alto
IA Pocahontas
IA Ringgold
IA Shelby
IA Taylor
IA Van Buren
IA Wayne
