AL Autauga,0.84893054,0.32526946,A
AL Baldwin,0.83778316,0.33379972,A
AL Barbour,0.5859959,0.5340362,A
AL Bibb,0.59349495,0.517215,A
AL Blount,0.72592455,0.41391024,A
AL Bullock,0.78184915,0.37406597,A
AL Butler,0.79767686,0.3652543,A
AL Calhoun,0.7902331,0.37115982,A
AL Chambers,0.79706,0.3647974,A
AL Cherokee,0.6642518,0.46919027,A
AL Chilton,0.7303816,0.4121897,A
AL Choctaw,0.2967103,0.7511929,B
AL Clarke,0.66512483,0.46881217,A
AL Clay,0.5315796,0.5685041,A
AL Cleburne,0.7780846,0.37881365,A
AL Coffee,0.66860133,0.4675125,A
AL Colbert,0.7853438,0.3743071,A
AL Conecuh,0.6536787,0.4760315,A
AL Coosa,0.65377915,0.4711684,A
AL Covington,0.778478,0.37919337,A
AL Crenshaw,0.66928434,0.4664323,A
AL Cullman,0.6616912,0.4674378,A
AL Dale,0.5429385,0.5662542,A
AL Dallas,0.79855406,0.36439323,A
AL DeKalb,0.667378,0.46361375,A
AL Elmore,0.7900589,0.36995688,A
AL Escambia,0.78867835,0.37182447,A
AL Etowah,0.7953897,0.367348,A
AL Fayette,0.46198684,0.6223786,B
AL Franklin,0.66904783,0.4665723,A
AL Geneva,0.3973414,0.681077,B
AL Greene,0.5875141,0.5129653,A
AL Hale,0.78325474,0.36908707,A
AL Henry,0.78849995,0.3721092,A
AL Houston,0.7902141,0.37102172,A
AL Jackson,0.66151935,0.47131273,A
AL Jefferson,0.88036966,0.29543397,A
AL Lamar,0.53146946,0.5739933,A
AL Lauderdale,0.7831819,0.3760097,A
AL Lawrence,0.3940105,0.68303776,B
AL Lee,0.79656816,0.36209077,A
AL Limestone,0.39651993,0.68139774,B
AL Lowndes,0.7549658,0.3929125,A
AL Macon,0.79890156,0.35977244,A
AL Madison,0.78821987,0.37304458,A
AL Marengo,0.7951744,0.36672622,A
AL Marion,0.7870258,0.37232998,A
AL Marshall,0.7880055,0.37265167,A
AL Mobile,0.80070704,0.36327848,A
AL Monroe,0.6553613,0.47445548,A
AL Montgomery,0.8015304,0.36345473,A
AL Morgan,0.66586846,0.4693288,A
AL Perry,1.4449639e-9,0.97865546,B
AL Pickens,0.6666812,0.46750095,A
AL Pike,0.6738441,0.46343103,A
AL Randolph,0.6697774,0.46532142,A
AL Russell,0.4048408,0.67602485,B
AL St Clair,0.8530275,0.31345895,A
AL Shelby,0.8650575,0.30440366,A
AL Sumter,0.6755515,0.46014187,A
AL Talladega,0.7829427,0.37617606,A
AL Tallapoosa,0.7965039,0.36593348,A
AL Tuscaloosa,0.7906096,0.37052098,A
AL Walker,0.7373187,0.40736192,A
AL Washington,0.7898491,0.37020904,A
AL Wilcox,0.7874051,0.36615112,A
AL Winston,0.6663998,0.4672433,A
AK Fairbanks North Star,0.782641,0.37575614,A
AK Denali,0.4339311,0.61850107,B
AK Yukon-Koyukuk,5.0199015e-11,0.9550561,B
AK Southeast Fairbanks,2.447781e-9,0.9748704,B
AK Valdez-Cordova,4.299075e-9,0.98274153,B
AK Matanuska-Susitna,0.62851584,0.48788697,A
AK Anchorage,0.7590828,0.3934865,A
AK Kenai Peninsula,0.62365633,0.49646595,A
AK Kodiak Island,0.38349125,0.6836416,B
AK Yakutat,2.8693095e-15,0.917798,B
AK Juneau,0.37539583,0.6970209,B
AK Hoonah-Angoon,0.3957199,0.6414916,B
AK Skagway,0.41741022,0.6220736,B
AK Haines,1.7840547e-11,0.97575676,B
AK Prince of Wales-Hyder,0.5125672,0.57245195,A
AK Petersburg,0.7461894,0.3825322,A
AK Sitka,0.2155367,0.8179253,B
AK Ketchikan Gateway,0.37854433,0.6886063,B
AK Wrangell,0.4258893,0.62260056,B
AK Aleutians East,1.4006316e-13,0.92639345,B
AK Dillingham,0.19035144,0.8271571,B
AK Aleutians West,0.3427753,0.702894,B
AK Lake and Peninsula,1.7775933e-14,0.937768,B
AK Bristol Bay,1.3195692e-10,0.961699,B
AK Bethel,0.51759666,0.5764487,A
AK Kusilvak,0.3940796,0.6275385,B
AK Nome,0.3755949,0.6904546,B
AK Northwest Arctic,0.35642102,0.6963321,B
AK North Slope,0.4906216,0.59192306,A
AZ Apache,0.7465031,0.40244702,A
AZ Cochise,0.6368002,0.49041605,A
AZ Coconino,0.7618055,0.39052513,A
AZ Gila,0.63087416,0.49480116,A
AZ Graham,0.4394402,0.64345914,B
AZ Greenlee,0.5062367,0.5912236,A
AZ La Paz,0.42866227,0.64164627,B
AZ Maricopa,0.8321571,0.33107746,A
AZ Mohave,0.75367755,0.39636576,A
AZ Navajo,0.75376236,0.39737314,A
AZ Pima,0.76666015,0.38447335,A
AZ Pinal,0.82366735,0.33582422,A
AZ Santa Cruz,0.4418931,0.6411168,B
AZ Yavapai,0.7475847,0.40130156,A
AZ Yuma,0.75139785,0.39931792,A
AR Arkansas,0.37309334,0.6998188,B
AR Ashley,0.6344109,0.4922423,A
AR Baxter,0.50116557,0.59621954,A
AR Benton,0.6327446,0.49271312,A
AR Boone,0.50496614,0.5931112,A
AR Bradley,0.74997157,0.40135738,A
AR Calhoun,0.1616103,0.8525329,B
AR Carroll,0.62924904,0.49615198,A
AR Chicot,0.5098709,0.59138364,A
AR Clark,0.5090655,0.5909852,A
AR Clay,0.3620371,0.70689297,B
AR Cleburne,0.6336048,0.49149743,A
AR Cleveland,0.16060749,0.8644914,B
AR Columbia,0.62766284,0.49723145,A
AR Conway,0.50668937,0.593562,A
