Name,S1,S2
AL Autauga,51.315853,185.59232
AL Baldwin,42.56445,180.03798
AL Barbour,100.65477,158.06772
AL Bibb,35.748886,212.24785
AL Blount,11.443971,220.9474
AL Bullock,211.18011,65.58196
AL Butler,145.85477,131.33803
AL Calhoun,41.968517,204.92523
AL Chambers,115.25332,151.71344
AL Cherokee,23.144758,215.83252
AL Chilton,32.873756,212.17621
AL Choctaw,109.98696,148.3666
AL Clarke,86.47004,159.64832
AL Clay,34.396774,208.7924
AL Cleburne,17.0292,227.10457
AL Coffee,30.892185,203.56062
AL Colbert,37.48927,203.677
AL Conecuh,82.98112,183.6187
AL Coosa,37.7061,207.53067
AL Covington,40.421867,206.22813
AL Crenshaw,76.19103,179.12941
AL Cullman,11.140582,227.16927
AL Dale,52.30658,189.91135
AL Dallas,159.08351,118.50983
AL DeKalb,39.87382,206.57661
AL Elmore,52.84094,188.30292
AL Escambia,59.27799,190.57782
AL Etowah,43.650867,205.75069
AL Fayette,20.173637,231.56577
AL Franklin,88.905556,174.47235
AL Geneva,11.981162,228.9669
AL Greene,176.76584,105.29838
AL Hale,164.47102,110.33461
AL Henry,40.345016,194.55617
AL Houston,37.08661,198.86716
AL Jackson,14.115462,228.31898
AL Jefferson,123.32376,123.62473
AL Lamar,9.649535,234.15143
AL Lauderdale,25.66777,207.18515
AL Lawrence,8.761049,230.81233
AL Lee,95.703026,137.46413
AL Limestone,26.532051,201.31754
AL Lowndes,234.8076,68.03678
AL Macon,165.53734,102.79325
AL Madison,68.922264,155.9131
AL Marengo,115.38682,140.68892
AL Marion,51.473392,205.52728
AL Marshall,54.511894,197.42206
AL Mobile,102.94464,145.43109
AL Monroe,62.653553,185.2697
AL Montgomery,163.27907,90.262184
AL Morgan,38.493717,203.03413
AL Perry,140.11093,145.7059
AL Pickens,74.54698,180.93657
AL Pike,77.17798,171.73346
AL Randolph,55.50272,192.58899
AL Russell,77.061584,167.55435
AL St Clair,19.15826,212.19649
AL Shelby,47.219048,160.01941
AL Sumter,180.16342,92.71509
AL Talladega,45.8366,200.12163
AL Tallapoosa,142.63911,129.07542
AL Tuscaloosa,89.43148,146.99573
AL Walker,56.712444,210.85674
AL Washington,67.21784,184.1029
AL Wilcox,167.81592,114.151764
AL Winston,29.311005,225.98213
AK Fairbanks North Star,121.164215,88.68843
AK Denali,128.6674,84.324066
AK Yukon-Koyukuk,122.45496,117.458626
AK Southeast Fairbanks,112.61582,139.2167
AK Valdez-Cordova,88.5786,146.1207
AK Matanuska-Susitna,47.027157,174.67091
AK Anchorage,129.8008,109.605034
AK Kenai Peninsula,66.55475,148.49278
AK Kodiak Island,68.0176,153.76778
AK Yakutat,79.62899,141.34314
AK Juneau,89.16729,132.56572
AK Hoonah-Angoon,68.71077,156.12689
