Name,S1,S2,S3,S4
AL Autauga,17.578745,28.667456,27.22304,163.66808
AL Baldwin,6.289161,14.312312,63.52126,138.56705
AL Barbour,12.372826,120.178055,2.5319026e-14,126.66852
AL Bibb,8.569752,55.48013,2.5319026e-14,184.24797
AL Blount,2.5346828,29.46346,1.4310534e-13,200.8263
AL Bullock,65.70698,146.28355,2.5319026e-14,65.21117
AL Butler,74.21293,54.464443,0.00014284143,148.53145
AL Calhoun,4.698136,62.86588,7.7492723,171.74146
AL Chambers,56.663372,49.433575,0.009305006,161.3243
AL Cherokee,10.743996,25.59691,2.2533968e-11,203.05595
AL Chilton,6.314486,54.557465,2.5319026e-14,184.5782
AL Choctaw,48.176636,63.67991,2.5319026e-14,146.70209
AL Clarke,21.644745,82.18431,2.5319026e-14,142.74924
AL Clay,14.900863,31.66224,2.5319026e-14,197.11816
AL Cleburne,6.6577525,33.529808,2.5319026e-14,204.59085
AL Coffee,5.1669564,43.028877,13.053219,173.50534
AL Colbert,13.416875,31.8552,12.032625,184.20392
AL Conecuh,34.81829,64.542145,2.5319026e-14,167.46414
AL Coosa,11.661726,52.10531,2.5319026e-14,181.75092
AL Covington,19.33067,28.322342,1.4867663e-10,199.48462
AL Crenshaw,32.434723,54.21623,2.5319026e-14,169.07603
AL Cullman,4.316827,21.762999,0.011401001,212.76218
AL Dale,17.827734,44.317142,6.341244,174.2255
AL Dallas,30.542189,149.85841,2.5319026e-14,97.595985
AL DeKalb,7.324078,56.543285,2.5319026e-14,182.8201
AL Elmore,17.845434,32.17804,24.6661,166.63477
AL Escambia,19.847225,55.965115,2.5319026e-14,174.29774
AL Etowah,11.870313,48.518154,4.327159,184.94019
AL Fayette,13.4613,17.882713,2.5319026e-14,221.05849
AL Franklin,30.583162,64.75096,2.5319026e-14,168.20532
AL Geneva,1.5145818,41.29946,2.5319026e-14,198.44435
AL Greene,59.1889,131.44017,2.5319026e-14,91.65315
AL Hale,67.101006,93.31224,2.5319026e-14,114.62442
AL Henry,12.802649,41.789093,2.1918905,178.5854
AL Houston,6.02333,46.72509,14.91229,168.48566
AL Jackson,6.2638154,23.496153,2.5319026e-14,213.0482
AL Jefferson,14.418062,80.91748,67.80646,83.806496
AL Lamar,6.682965,19.088552,2.5319026e-14,218.27951
AL Lauderdale,6.044433,23.71306,29.97767,173.34982
AL Lawrence,1.4848503,32.994553,2.5319026e-14,205.39488
AL Lee,17.701187,51.76188,64.7134,99.0476
AL Limestone,4.142213,28.080584,31.143835,164.61586
AL Lowndes,105.069626,117.82659,2.5319026e-14,79.610115
AL Macon,30.717123,154.49776,3.0535862e-6,83.554054
AL Madison,3.310419,41.4365,81.56291,98.55067
AL Marengo,35.90297,90.076965,2.5319026e-14,130.47952
AL Marion,31.715244,12.974746,2.5319026e-14,213.11987
AL Marshall,16.716629,51.256927,0.0961646,184.05864
AL Mobile,22.49396,69.19509,38.532997,118.25587
AL Monroe,14.88877,69.85669,2.5319026e-14,163.47485
AL Montgomery,26.258547,118.56416,46.059875,62.686634
AL Morgan,5.5717607,44.723328,21.915506,169.46884
AL Perry,26.030151,147.51685,2.5319026e-14,112.833466
AL Pickens,22.065662,73.17047,1.4825582e-9,160.676
AL Pike,11.077537,87.7192,10.923027,139.64256
AL Randolph,24.922068,35.68172,2.426367e-10,187.9615
AL Russell,1.6202396,110.90295,0.002266454,131.92181
AL St Clair,6.97177,19.045866,14.078482,191.55396
AL Shelby,9.858889,5.642872,85.693726,106.05662
AL Sumter,59.376694,123.50275,2.6032548e-13,90.59706
AL Talladega,6.4934516,70.2712,7.4793606e-6,169.40045
AL Tallapoosa,87.12693,4.8214664,18.915943,161.14316
AL Tuscaloosa,14.710281,54.977356,56.15509,110.67041
AL Walker,30.322668,32.8893,2.5319026e-14,204.78885
AL Washington,29.503784,49.483982,2.5319026e-14,172.649
AL Wilcox,60.252796,120.046104,2.5319026e-14,102.04783
AL Winston,13.459492,32.477654,2.5319026e-14,209.90413
AK Fairbanks North Star,0.8747743,89.33297,87.9761,31.964367
AK Denali,1.0788529e-14,83.28763,104.83377,22.363022
AK Yukon-Koyukuk,2.2213435,96.33643,87.49468,51.967846
AK Southeast Fairbanks,1.0788529e-14,118.947754,46.956112,85.13418
AK Valdez-Cordova,1.0788529e-14,75.242584,85.81367,70.37723
AK Matanuska-Susitna,0.27278954,45.29771,87.73397,86.42512
AK Anchorage,0.571379,113.895905,73.94652,51.336224
AK Kenai Peninsula,1.5728893,35.034237,106.06269,71.92313
AK Kodiak Island,1.0788529e-14,39.50832,106.62436,72.04033
AK Yakutat,1.0788529e-14,73.97301,70.325294,73.70966
AK Juneau,4.3007884,26.99061,136.33253,52.574677
AK Hoonah-Angoon,1.0788529e-14,54.54312,86.12199,82.8702
AK Skagway,1.0788529e-14,44.36622,118.86615,64.81235
AK Haines,1.0788529e-14,74.882484,87.90651,59.224487
AK Prince of Wales-Hyder,1.0788529e-14,152.06944,39.411324,67.91661
AK Petersburg,18.258076,106.78628,56.774277,69.04335
AK Sitka,1.0788529e-14,50.13874,105.99954,66.32727
AK Ketchikan Gateway,1.0788529e-14,119.970055,56.856236,77.785446
AK Wrangell,1.0788529e-14,106.72527,60.349625,67.62489
AK Aleutians East,1.0788529e-14,132.36612,43.171467,67.95005
AK Dillingham,1.0788529e-14,97.695114,61.822178,80.16084
AK Aleutians West,1.0788529e-14,82.14098,73.605934,65.11447
AK Lake and Peninsula,1.0788529e-14,88.7204,64.06948,68.587326
AK Bristol Bay,1.0788529e-14,41.205307,94.9656,86.19242
AK Bethel,1.0788529e-14,102.273224,65.33013,58.629196
AK Kusilvak,1.0788529e-14,102.337204,59.942863,63.059574
AK Nome,1.0788529e-14,99.40313,53.552185,83.621025
AK Northwest Arctic,1.0788529e-14,136.33386,52.92122,41.681335
AK North Slope,1.0788529e-14,126.502014,51.15045,52.57335
AZ Apache,50.433884,144.57246,32.845688,46.069798
AZ Cochise,6.640549,63.111782,77.109055,86.530365
AZ Coconino,24.45489,69.82287,117.2624,18.805805
AZ Gila,12.178666,48.62345,48.318687,138.7816
AZ Graham,5.0642486,85.08339,50.536747,94.577805
AZ Greenlee,4.4196014,65.516945,55.182053,99.71551
AZ La Paz,16.39038,73.400856,34.199726,118.14186
AZ Maricopa,11.615862,80.8052,152.13054,1.806647
AZ Mohave,17.794792,39.38222,44.57414,147.33028
AZ Navajo,48.35856,105.65405,46.104027,64.300285
AZ Pima,12.27934,69.19976,130.76077,21.829094
AZ Pinal,8.302475,57.89571,88.75978,68.04813
AZ Santa Cruz,35.140583,126.55039,83.70989,9.43408e-5
AZ Yavapai,6.3260417,13.736726,90.850746,113.97245
AZ Yuma,28.446768,121.00504,68.78706,27.124771
AR Arkansas,0.8238555,71.61662,0.01309515,179.72702
AR Ashley,6.6622458,60.77065,1.1030268e-9,183.02086
AR Baxter,1.0788529e-14,1.940496e-14,27.708641,202.30374
AR Benton,3.6748567,40.656242,79.6075,98.666504
AR Boone,0.85122,3.716281,22.586449,202.12839
AR Bradley,11.090851,87.359795,6.206134e-8,158.57147
AR Calhoun,1.0788529e-14,40.271385,2.5319026e-14,199.7198
AR Carroll,5.113583,48.67299,23.80591,159.408
AR Chicot,29.880713,134.30244,1.011959e-12,116.90438
AR Clark,2.210242e-10,70.39188,29.424412,138.80037
AR Clay,8.211464,31.912024,0.02313264,210.1123
AR Cleburne,11.079848,1.940496e-14,15.351024,207.313
AR Cleveland,6.523726,33.329746,4.485263e-6,196.28676
AR Columbia,10.511141,66.705,10.532905,163.72284
AR Conway,5.6814175,38.645065,20.739594,176.36163
AR Craighead,1.5666567,62.743046,36.751312,137.54498
AR Crawford,0.81031466,31.68847,14.5091305,190.99928
AR Crittenden,18.404257,142.78183,5.4911184,100.856575
AR Cross,6.460083,51.81023,1.756565e-7,191.94836
AR Dallas,1.5133773e-8,97.19553,2.5319026e-14,159.38126
AR Desha,4.750326,109.1327,2.5319026e-14,140.00415
AR Drew,4.9197927,68.72541,14.263001,153.57137
AR Faulkner,1.1829154,30.647484,62.81191,128.68127
AR Franklin,1.0492743,22.831896,6.4098024,209.20267
AR Fulton,1.0788529e-14,12.151071,3.973451e-8,227.67674
AR Garland,2.177576,44.957745,36.566566,164.5568
AR Grant,0.5171263,9.413719,21.216051,203.0106
AR Greene,0.62400466,19.460882,11.3558,210.7439
AR Hempstead,2.8771067,90.75073,2.5319026e-14,156.83728
AR Hot Spring,17.219765,44.05022,2.009735,191.4535
AR Howard,6.1980977,88.63031,1.29042e-8,156.63593
AR Independence,4.290961e-8,39.02373,10.934764,186.08897
AR Izard,2.4853747,9.740374,6.401065,223.64577
AR Jackson,0.48339918,54.066574,2.5319026e-14,197.30879
AR Jefferson,27.486486,119.54359,18.581795,99.01382
AR Johnson,1.1755289,63.44524,12.283815,159.41113
AR Lafayette,13.346644,58.83288,2.822809e-14,182.10732
AR Lawrence,27.737087,2.579041e-11,13.453512,210.92044
AR Lee,89.87624,120.13145,1.5036499e-9,83.688156
AR Lincoln,114.091805,54.531956,1.4309784,120.719925
AR Little River,17.576324,32.68433,0.8484944,199.30453
AR Logan,1.0788529e-14,32.411236,8.235689e-11,211.62296
AR Lonoke,0.32958248,21.09824,33.379036,170.67923
AR Madison,4.536387,33.21723,12.162623,186.26549
AR Marion,1.0788529e-14,1.9943616,9.952514,230.04247
AR Miller,2.4368408,70.76753,6.608675,166.98471
AR Mississippi,6.4980536,119.77121,1.7415511e-13,136.81305
