Name,S1,S2,S3,S4,S5,Cluster
"COLUMN:  78  - Popn count (2015) (per 100,000)",0.035597023,1.5168409e-13,0.0008760454,2.8094804e-5,0.0023470628,C
COLUMN: 21 | CATEGORY: '2016 ELECTION' | VARIABLE: '' | UNITS: '(%)'' | COVERAGE: '100.0%',0.02945774,0.8775084,3.418095e-5,0.45460805,0.44391975,D
COLUMN: 998 | CATEGORY: 'COVID-19 (05-07-2020)' | VARIABLE: 'Case rate (per million)' | UNITS: 'Rate'' | COVERAGE: '100.0%',0.028070074,0.027401926,0.20809548,3.4901402e-16,0.01919992,E
COLUMN: 999 | CATEGORY: 'COVID-19 (05-07-2020)' | VARIABLE: 'Death rate (per million)' | UNITS: 'Rate'' | COVERAGE: '100.0%',3.750755e-16,3.8820187e-16,0.43252563,3.4901402e-16,2.6914392e-16,E
COLUMN: 1000 | CATEGORY: 'COVID-19 (05-07-2020)' | VARIABLE: 'Worst week - cases (weekly cases per million)' | UNITS: 'Rate'' | COVERAGE: '100.0%',3.750755e-16,0.021553637,0.07937869,3.4901402e-16,0.008400667,E
COLUMN: 1001 | CATEGORY: 'COVID-19 (05-07-2020)' | VARIABLE: 'Worst week - deaths (weekly deaths per million)' | UNITS: 'Rate'' | COVERAGE: '78.5%',0.0010489806,3.8820187e-16,0.29365206,3.4901402e-16,0.017620372,E
COLUMN: 1002 | CATEGORY: 'COVID-19 (06-17-2020)' | VARIABLE: 'Case rate (per million)' | UNITS: 'Rate'' | COVERAGE: '100.0%',0.09940019,0.079056896,0.40325415,0.017570535,0.024212241,E
COLUMN: 1003 | CATEGORY: 'COVID-19 (06-17-2020)' | VARIABLE: 'Death rate (per million)' | UNITS: 'Rate'' | COVERAGE: '100.0%',3.750755e-16,3.8820187e-16,0.69974667,3.4901402e-16,2.6914392e-16,E
COLUMN: 1004 | CATEGORY: 'COVID-19 (06-17-2020)' | VARIABLE: 'Worst week - cases (weekly cases per million)' | UNITS: 'Rate'' | COVERAGE: '95.7%',8.0025494e-8,0.063585974,0.12777644,0.015399572,0.0015071477,E
COLUMN: 1005 | CATEGORY: 'COVID-19 (06-17-2020)' | VARIABLE: 'Worst week - deaths (weekly deaths per million)' | UNITS: 'Rate'' | COVERAGE: '59.9%',3.750755e-16,0.23647873,0.4291821,1.0858469e-13,0.031635933,E
COLUMN: 1006 | CATEGORY: 'COVID-19 (07-27-2020)' | VARIABLE: 'Case rate (per million)' | UNITS: 'Rate'' | COVERAGE: '100.0%',0.43652052,0.21845008,0.5351391,0.37687358,5.9578714e-10,E
COLUMN: 1007 | CATEGORY: 'COVID-19 (07-27-2020)' | VARIABLE: 'Death rate (per million)' | UNITS: 'Rate'' | COVERAGE: '100.0%',0.0014653192,3.8820187e-16,0.8895859,3.4901402e-16,2.6914392e-16,E
COLUMN: 1008 | CATEGORY: 'COVID-19 (07-27-2020)' | VARIABLE: 'Worst week - cases (weekly cases per million)' | UNITS: 'Rate'' | COVERAGE: '98.8%',0.06787777,0.099081665,0.13972507,0.11757028,2.6914392e-16,E
COLUMN: 1009 | CATEGORY: 'COVID-19 (07-27-2020)' | VARIABLE: 'Worst week - deaths (weekly deaths per million)' | UNITS: 'Rate'' | COVERAGE: '70.5%',3.750755e-16,0.36564377,0.53184223,0.072436064,0.015715653,E
COLUMN: 1010 | CATEGORY: 'COVID-19 (08-31-2020)' | VARIABLE: 'Case rate (per million)' | UNITS: 'Rate'' | COVERAGE: '100.0%',0.6181844,0.4759736,0.5838096,0.910957,0.0030615528,E
COLUMN: 1011 | CATEGORY: 'COVID-19 (08-31-2020)' | VARIABLE: 'Death rate (per million)' | UNITS: 'Rate'' | COVERAGE: '100.0%',0.076483525,3.8820187e-16,1.0,0.2522684,2.6914392e-16,E
COLUMN: 1012 | CATEGORY: 'COVID-19 (08-31-2020)' | VARIABLE: 'Worst week - cases (weekly cases per million)' | UNITS: 'Rate'' | COVERAGE: '99.5%',0.058842022,0.16682401,0.1323577,0.21905524,2.6914392e-16,E
COLUMN: 1013 | CATEGORY: 'COVID-19 (08-31-2020)' | VARIABLE: 'Worst week - deaths (weekly deaths per million)' | UNITS: 'Rate'' | COVERAGE: '79.3%',3.750755e-16,0.46893275,0.34598058,0.26104164,1.0912088e-9,E
COLUMN: 197 | CATEGORY: 'ATF' | VARIABLE: 'Gun shops' | UNITS: '(count)'' | COVERAGE: '97.9%',3.750755e-16,0.093831226,8.5329954e-17,0.014275285,0.020894786,D
COLUMN: 827 | CATEGORY: 'US Polciy Database' | VARIABLE: 'RNTGP Renter grace period or use of security deposit to pay rent renter_grace start date' | UNITS: 'Date'' | COVERAGE: '0.9%',3.750755e-16,3.8820187e-16,8.5329954e-17,3.4901402e-16,2.6914392e-16,A
COLUMN: 198 | CATEGORY: 'ATF' | VARIABLE: 'All fire busin-esses' | UNITS: '(count)'' | COVERAGE: '98.2%',8.377216e-15,0.10836594,8.5329954e-17,0.016512813,0.024725338,D
