Name,S1,S2,Cluster
AL Autauga,0.16652894,0.6913871,A
AL Baldwin,0.1381291,0.67069554,A
AL Barbour,0.3266424,0.5888497,B
AL Bibb,0.11601141,0.790687,A
AL Blount,0.03713769,0.82309544,A
AL Bullock,0.6853165,0.24431251,B
AL Butler,0.4733243,0.4892736,B
AL Calhoun,0.1361952,0.76340806,A
AL Chambers,0.37401724,0.56517816,B
AL Cherokee,0.075108804,0.80404097,A
AL Chilton,0.10668111,0.7904201,A
AL Choctaw,0.35692698,0.5527101,B
AL Clarke,0.28061044,0.59473795,A
AL Clay,0.11162357,0.77781445,A
AL Cleburne,0.05526274,0.84603274,A
AL Coffee,0.10025056,0.7583245,A
AL Colbert,0.12165926,0.758758,A
AL Conecuh,0.26928827,0.6840348,A
AL Coosa,0.12236291,0.7731141,A
AL Covington,0.13117605,0.7682618,A
AL Crenshaw,0.24725327,0.6673109,A
AL Cullman,0.036153145,0.8462738,A
AL Dale,0.16974403,0.70747685,A
AL Dallas,0.5162539,0.44148472,B
AL DeKalb,0.12939754,0.76956,A
AL Elmore,0.17147812,0.7014849,A
AL Escambia,0.19236748,0.7099596,A
AL Etowah,0.14165473,0.7664831,A
AL Fayette,0.06546699,0.86265206,A
AL Franklin,0.28851414,0.64996195,A
AL Geneva,0.038880974,0.85297054,A
AL Greene,0.5736362,0.3922681,B
AL Hale,0.5337373,0.41102958,B
AL Henry,0.13092665,0.7247802,A
AL Houston,0.12035255,0.7408399,A
AL Jackson,0.045807153,0.85055685,A
AL Jefferson,0.40020725,0.46053928,B
AL Lamar,0.031314436,0.8722844,A
AL Lauderdale,0.08329642,0.7718269,A
AL Lawrence,0.028431142,0.8598453,A
AL Lee,0.3105731,0.51209515,B
AL Limestone,0.08610116,0.7499683,A
AL Lowndes,0.76199186,0.25345746,B
AL Macon,0.5371977,0.38293573,B
AL Madison,0.22366484,0.5808231,A
AL Marengo,0.37445047,0.52410847,B
AL Marion,0.16704018,0.76565087,A
AL Marshall,0.17690066,0.73545647,A
AL Mobile,0.33407342,0.5417745,B
AL Monroe,0.20332177,0.6901853,A
AL Montgomery,0.5298692,0.33625376,B
AL Morgan,0.12491886,0.75636315,A
AL Perry,0.45468456,0.5427983,B
AL Pickens,0.24191803,0.67404306,A
AL Pike,0.2504561,0.63975877,A
AL Randolph,0.18011606,0.7174519,A
AL Russell,0.25007835,0.62419033,A
AL St Clair,0.062171917,0.7904957,A
AL Shelby,0.1532341,0.59612036,A
AL Sumter,0.5846619,0.34539157,B
AL Talladega,0.14874782,0.7455132,A
AL Tallapoosa,0.46288896,0.48084474,B
AL Tuscaloosa,0.29022086,0.54760325,A
AL Walker,0.18404183,0.7855047,A
AL Washington,0.21813369,0.68583864,A
AL Wilcox,0.5445921,0.4252496,B
AL Winston,0.09511935,0.84185135,A
AK Fairbanks North Star,0.39319915,0.33039105,B
AK Denali,0.4175483,0.31413248,B
AK Yukon-Koyukuk,0.39738783,0.43756866,B
AK Southeast Fairbanks,0.3654581,0.51862407,B
AK Valdez-Cordova,0.2874531,0.54434353,A
AK Matanuska-Susitna,0.15261137,0.65070164,A
AK Anchorage,0.42122635,0.4083117,B
