Name,S1,S2,S3,Cluster
AL Autauga,0.6129039393516957,0.06616976792364157,0.04656368295576033,B
AL Baldwin,0.6458359297211079,0.04709549439771528,0.010305290891464959,B
AL Barbour,0.588050526486164,0.08787493578417777,0.024806044081710027,B
AL Bibb,0.6637460586003807,0.07175369507102071,0.007445031473573866,B
AL Blount,0.6851313477572678,0.04996525763986926,0.0013978828451104404,B
AL Bullock,4.121980985291219e-9,0.2120660628335374,0.17359786960444928,B
AL Butler,0.34190315373807634,0.13730401676091966,0.261115338614297,C
AL Calhoun,0.7117366103849966,0.054247750498825464,0.006909509822555355,B
AL Chambers,0.525665742546917,0.07897375474009992,0.21247188052831945,C
AL Cherokee,0.7313731047161071,0.03479441306167216,0.040658645359856055,A
AL Chilton,0.6570815996666874,0.06771326837866451,0.008936309173859737,B
AL Choctaw,0.5291416837371182,0.08336645920630488,0.17934285778629594,C
AL Clarke,0.47618230647694193,0.12033986930847392,0.029753495863915097,B
AL Clay,0.652057957815029,0.0677201217715997,0.038646535404207136,B
AL Cleburne,0.7808007315634802,0.03868067638568984,0.02273914821184451,A
AL Coffee,0.6620914851233352,0.055814751013930936,0.0030621879829670377,B
AL Colbert,0.6307060379650459,0.07280577586180673,0.020346040309756883,B
AL Conecuh,0.4894259494455038,0.13662324988248528,0.06162133311175354,B
AL Coosa,0.7528959172830344,0.034737321410005746,0.039016686664427085,A
AL Covington,0.5750110923514878,0.09389424422483116,0.03389889775815865,B
AL Crenshaw,0.41248925464000896,0.15496774412338557,0.05038842188943942,B
AL Cullman,0.692647425840248,0.05065710465954255,0.002191117325459884,B
AL Dale,0.622953732747681,0.08318205097534018,0.033208340402296394,B
AL Dallas,0.45482626714089697,0.14351989050501004,0.052291575108882576,B
AL DeKalb,0.6141095676149384,0.08080830155208549,0.01059928455420011,B
AL Elmore,0.5887365291395996,0.0790792820447119,0.03453579368912789,B
AL Escambia,0.5453547321349117,0.10462608429081947,0.03388445306914108,B
AL Etowah,0.6622090605851465,0.06847116766632509,0.025094417511503587,B
AL Fayette,0.7617817531187139,0.057890243075918425,0.026621102166132747,B
AL Franklin,0.38872187556869253,0.15752033299717808,0.06297018023449424,B
AL Geneva,0.7553577092778266,0.040408276881080764,2.148900210288359e-17,A
AL Greene,0.4142971120492505,0.11962550796692263,0.19908465180124912,C
AL Hale,0.4296990718813851,0.10396825012080703,0.2460362676553819,C
AL Henry,0.6508111155661835,0.05772328339808809,0.02932508104683635,B
AL Houston,0.6887728066370288,0.04669367872764785,0.011349926410925608,B
AL Jackson,0.6917206230687009,0.055135142590746714,0.009398942497183291,B
AL Jefferson,0.6328386097118127,0.06249130128592222,0.03481927133214131,B
AL Lamar,0.7126426934876746,0.06010122178932963,2.148900210288359e-17,B
AL Lauderdale,0.6997031817411146,0.04169664206694813,0.009339614439326932,A
AL Lawrence,0.7661340119090411,0.034522690641230966,2.148900210288359e-17,A
AL Lee,0.6011899678529966,0.06449332105265139,0.04762430821801694,B
AL Limestone,0.6805587365607707,0.04652387906919001,3.720854963445699e-5,B
AL Lowndes,1.0771224010203813e-14,0.22245643287080807,0.3747994052137428,C
AL Macon,0.6157954066045419,0.06974737614938657,0.09402070593829914,C
AL Madison,0.6604940940879892,0.04461929881269947,0.002888136510937879,B
AL Marengo,0.49791264867646207,0.09790560710438308,0.10771983055020753,B
AL Marion,0.6315189374019331,0.07141342133663019,0.11866916722548712,C
AL Marshall,0.5351655543686569,0.11119758857806773,0.02598391165297795,B
AL Mobile,0.5867280706980234,0.07348520252814886,0.06398506099810453,B
AL Monroe,0.6137674142547404,0.07984220854899704,0.021969466034476852,B
AL Montgomery,0.4858670471656856,0.10459823725647958,0.0663736413379345,B
AL Morgan,0.64882094973338,0.06689383582690434,0.0022646093272055048,B
AL Perry,0.37953025755636316,0.1927078819528989,1.2511819296442528e-14,B
AL Pickens,0.634566013890377,0.07050496692739823,0.06473444306798788,B
AL Pike,0.6007984260023287,0.08473347449981103,0.011114054867830642,B
AL Randolph,0.6459736728612503,0.05726979398385841,0.08545072830325855,C
AL Russell,0.6452159919192553,0.06727270246008246,2.148900210288359e-17,B
AL St Clair,0.6596648023551788,0.05592387152102428,0.005177419710930932,B
AL Shelby,0.5854117950372537,0.047507638863977866,0.018017807900140473,B
AL Sumter,0.4100870267858824,0.10987923251309463,0.20684009087996236,C
AL Talladega,0.7160449544370334,0.049706369984637,0.013130435188746264,B
AL Tallapoosa,0.5716049733011037,0.03494135816800529,0.4249439729044826,C
AL Tuscaloosa,0.5732935021235711,0.07763713743380675,0.02373086656723806,B
AL Walker,0.5859993200975228,0.10425444990681876,0.08550400618270475,B
AL Washington,0.5700400607618776,0.08635807509960236,0.0943159841851352,B
AL Wilcox,0.3628387032348917,0.1451433862334613,0.1725490985179169,B
AL Winston,0.6723892709397643,0.07600434446143851,0.02919827953738352,B
AK Fairbanks North Star,0.6868457872664333,0.01549910134694305,0.005750188894335844,A
AK Denali,0.7704662791147822,1.731544253117616e-5,2.148900210288359e-17,A
AK Yukon-Koyukuk,0.730485915474114,0.053543981860181965,0.0034149447687428507,B
AK Southeast Fairbanks,0.8966898583092782,0.0059690246056292315,2.148900210288359e-17,A
AK Valdez-Cordova,0.8296454017382271,0.01755301736952651,2.148900210288359e-17,A
AK Matanuska-Susitna,0.7759275662844343,0.004611198755443659,0.002114656167167125,A
AK Anchorage,0.7816771781811853,0.020064447599208977,0.0034297258045344107,A
AK Kenai Peninsula,0.7334769101968139,0.012861964401066198,0.007713112668782395,A
AK Kodiak Island,0.7880688093977848,0.0005804871730304812,2.148900210288359e-17,A
AK Yakutat,0.7721173309605038,1.8402110415994745e-17,2.148900210288359e-17,A
AK Juneau,0.8581207653890367,0.005300649318504685,0.019452556916504854,A
AK Hoonah-Angoon,0.8339024127370465,0.008768414816516908,2.148900210288359e-17,A
AK Skagway,0.8095646919976289,1.8402110415994745e-17,2.148900210288359e-17,A
AK Haines,0.7933544083914272,0.0032209842014152205,2.148900210288359e-17,A
AK Prince of Wales-Hyder,0.9571632453742716,0.0034660372768771,2.148900210288359e-17,A
AK Petersburg,0.8507540656271315,1.8402110415994745e-17,0.11922779060996144,C
AK Sitka,0.7937081562664811,0.007840308718422036,2.148900210288359e-17,A
