Name,S1,S2,S3,S4,S5,Cluster
AL Autauga,0.046977058,0.23174725,0.08388646,0.42111474,0.41116053,D
AL Baldwin,0.14177392,0.26602292,0.02422089,0.24524137,0.44590008,A
AL Barbour,0.17499168,0.002810872,0.08113973,0.8293923,0.18246159,C
AL Bibb,9.173953e-8,0.06519433,0.043054253,0.7080486,0.41805732,D
AL Blount,8.317125e-7,0.37492394,0.009680374,0.48522332,0.28875157,D
AL Bullock,0.19917625,3.5488448e-14,0.3828655,0.8018541,2.1119824e-9,C
AL Butler,0.0034334897,0.0879051,0.36720595,0.68313324,0.26561204,D
AL Calhoun,0.09811507,0.0066994596,0.025769424,0.6121233,0.4875217,D
AL Chambers,0.004461185,0.0019567262,0.26863882,0.6507558,0.43091935,D
AL Cherokee,7.6017964e-17,0.22940874,0.04599622,0.54340863,0.37656346,D
AL Chilton,0.027757406,0.21728106,0.03240601,0.66500604,0.27143094,D
AL Choctaw,0.000119591175,0.16799733,0.25824705,0.7025832,0.16901273,C
AL Clarke,0.07624291,0.044421464,0.12296213,0.7056117,0.2762083,D
AL Clay,7.6017964e-17,0.27214015,0.06459769,0.6300906,0.24281026,C
AL Cleburne,7.6017964e-17,0.2570949,0.028441088,0.64241296,0.28559014,D
AL Coffee,0.059151143,0.27040645,0.026646778,0.4833643,0.3303188,D
AL Colbert,0.010565406,0.13111968,0.063076384,0.48939684,0.522901,D
AL Conecuh,3.0912122e-14,0.050342817,0.16894707,0.83869433,0.27057984,D
AL Coosa,4.467217e-6,0.15895231,0.06034044,0.6632392,0.33876958,D
AL Covington,7.6017964e-17,0.20783427,0.08355207,0.585692,0.3590566,D
AL Crenshaw,4.206985e-10,0.25540242,0.16376084,0.6761994,0.18081073,C
AL Cullman,1.3599913e-12,0.26390436,0.015924318,0.50631195,0.40720603,D
AL Dale,0.03822131,0.22449718,0.087409645,0.5296022,0.33475348,D
AL Dallas,0.23743713,1.9934937e-15,0.18463281,0.90375143,0.037766494,C
AL DeKalb,0.042903442,0.2726453,0.038632493,0.64878714,0.21595925,C
AL Elmore,0.053177312,0.19240887,0.083911404,0.44567415,0.440305,D
AL Escambia,0.01241014,0.0989342,0.09616232,0.7138662,0.3224182,D
