Name,S1,S2,S3,Cluster
AL Autauga,0.1474831706941292,0.6592535778413761,0.15038723184118297,A
AL Baldwin,0.36741236543065225,0.5390266975721044,0.05926851972927075,A
AL Barbour,4.8803379373652966e-12,0.6285388132914627,0.3645963778386179,C
AL Bibb,1.6005958679105436e-16,0.8082960788600035,0.15093779447737896,A
AL Blount,0.04349247716210127,0.8181867032781862,0.053106923897605504,A
AL Bullock,1.6005958679105436e-16,0.3500808648393635,0.7006460212725029,C
AL Butler,1.6005958679105436e-16,0.577057110919203,0.48259727196279617,C
AL Calhoun,0.09988139014255903,0.737990946857238,0.14440808849528736,A
AL Chambers,1.6005958679105436e-16,0.6375236960013957,0.387337070705497,C
AL Cherokee,1.991361148024564e-13,0.8362880614837338,0.09084774015209132,A
AL Chilton,8.667232134503725e-12,0.8085610698945509,0.1400459219814337,A
AL Choctaw,1.6005958679105436e-16,0.6146721142098599,0.376400027980597,C
AL Clarke,1.3314703580171495e-15,0.6411450080433246,0.305340163495617,C
AL Clay,1.6005958679105436e-16,0.8075807408114168,0.13441588057895384,A
AL Cleburne,1.6005958679105436e-16,0.8619825860977479,0.08627291625397884,A
AL Coffee,0.11526374797269952,0.723614827646228,0.101622580771323,A
AL Colbert,0.07034056409681244,0.7540547757293621,0.12893737892677443,A
AL Conecuh,1.6005958679105436e-16,0.7153282954477661,0.31027582754236566,C
AL Coosa,1.6005958679105436e-16,0.7889371528323498,0.15924220863219438,A
AL Covington,2.0196220257537682e-16,0.8056549753797587,0.1492957608856162,A
AL Crenshaw,1.6005958679105436e-16,0.7105606129888732,0.2732281984884813,C
AL Cullman,0.040026935410750336,0.8504699661960035,0.046949291278821664,A
AL Dale,0.04113759749062029,0.7280824168160481,0.17863622550839756,A
AL Dallas,1.6005958679105436e-16,0.5074167992590092,0.5510498903146204,C
AL DeKalb,2.6509395763419533e-10,0.7919366288461044,0.1602983450219738,A
AL Elmore,0.13433649020533944,0.676262410923617,0.1585849728858698,A
AL Escambia,1.6005958679105436e-16,0.7438876601002993,0.2196327330292131,A
AL Etowah,0.0495273740101739,0.7726495412080531,0.15571034186286734,A
AL Fayette,1.6005958679105436e-16,0.8876941217152268,0.08979436760904166,A
AL Franklin,1.6005958679105436e-16,0.7085841240039189,0.30386852351118065,C
AL Geneva,5.551019522647312e-16,0.8613773144676473,0.07440523614191688,A
AL Greene,1.6005958679105436e-16,0.4576401819754292,0.6163021034325713,C
AL Hale,1.6005958679105436e-16,0.497142750152869,0.5521199042133411,C
AL Henry,0.027019700207728144,0.7440369931423753,0.14567299064646966,A
AL Houston,0.12095454417277827,0.7080592489231882,0.11782664016896573,A
AL Jackson,3.759452900965503e-9,0.8723738313473997,0.06861427914790297,A
AL Jefferson,0.41589313256901117,0.3734554656219809,0.2758658624252466,C
AL Lamar,1.6005958679105436e-16,0.8882300638267717,0.058309552926773076,A
AL Lauderdale,0.18184595887131805,0.702552029506349,0.06961926424865326,A
AL Lawrence,0.0057714342013884005,0.8675701254919795,0.059623499933074246,A
AL Lee,0.37563154766759843,0.4128623548296924,0.2144937758605056,C
AL Limestone,0.20218048727425467,0.6708025762690464,0.06731700671428273,A
AL Lowndes,1.6005958679105436e-16,0.3657245016680947,0.7832904929414136,C
AL Macon,0.031079017616982865,0.44563849067350253,0.5544530971226217,C
AL Madison,0.49855908855049197,0.4065056406219407,0.10409088358069582,B
AL Marengo,1.6005958679105436e-16,0.585844357830864,0.39570420108087473,C
AL Marion,1.6005958679105436e-16,0.8160806526403048,0.17944697040975208,A
AL Marshall,0.043821453005405964,0.7531223048573241,0.1877113987942123,A
AL Mobile,0.23353315050349888,0.5051285665988767,0.28124739818575156,C
AL Monroe,1.6005958679105436e-16,0.7196135767962296,0.235890853349098,A
AL Montgomery,0.30565307500021993,0.3033196043791853,0.4445867809043187,C
AL Morgan,0.16397367358895348,0.7043817665197468,0.11218474334105773,A
AL Perry,1.6005958679105436e-16,0.5736489278309621,0.5202143052841698,C
AL Pickens,7.464205642692536e-8,0.7115764231435907,0.27261477203799855,C
AL Pike,0.11783101906530463,0.6220817087670751,0.2520826644302819,C
AL Randolph,1.6005958679105436e-16,0.7614333423369423,0.19706702617539537,A
AL Russell,0.09123236864103951,0.6023553229356379,0.27328684948606125,C
AL St Clair,0.0852560523800162,0.7726133402075784,0.06394273908622596,A
AL Shelby,0.4769202621504957,0.38830049650375004,0.07066410513824535,B
AL Sumter,1.6005958679105436e-16,0.4372788600857331,0.6026560448084741,C
AL Talladega,0.04246666155641548,0.74186511071919,0.17721663219521572,A
AL Tallapoosa,1.6005958679105436e-16,0.5891209933835775,0.4521157708033644,C
AL Tuscaloosa,0.335265943712789,0.4650798575504037,0.20452999968381744,A
AL Walker,1.6005958679105436e-16,0.8266275764043701,0.20719986887992517,A
AL Washington,1.6005958679105436e-16,0.7234392121793881,0.2454365476201918,C
AL Wilcox,1.6005958679105436e-16,0.48143297132056145,0.5937109698936954,C
AL Winston,1.6005958679105436e-16,0.868273579687526,0.12163768768338583,A
AK Fairbanks North Star,0.557983374294529,0.16748272926418173,0.23773295639891115,B
AK Denali,0.6493617999617909,0.12591486686513828,0.22097301000740305,B
AK Yukon-Koyukuk,0.5588399616139836,0.28591017048537887,0.2314357689471601,B
AK Southeast Fairbanks,0.3500929065564558,0.41810974009848584,0.29826593790922534,C
AK Valdez-Cordova,0.5412267491852769,0.3461134475295562,0.16372674338184,B
AK Matanuska-Susitna,0.5401532080410985,0.4232341263999622,0.04395469638184684,B
AK Anchorage,0.5066990711538298,0.26654039324385626,0.2891972693704737,B
AK Kenai Peninsula,0.6330361593630035,0.30058030758511356,0.07436152578646466,B
AK Kodiak Island,0.643490925133109,0.3196074602602445,0.06581983975563202,B
AK Yakutat,0.45166222444017445,0.36386434688715924,0.15941999272179283,B
AK Juneau,0.7821446855480358,0.21925566241375344,0.07222285063413172,B
AK Hoonah-Angoon,0.52815633753808,0.38535430825945066,0.10070952460960315,B
AK Skagway,0.7052265665005413,0.29790431187592,0.08158831540329753,B
AK Haines,0.5550447557563883,0.28232755390300124,0.17654403402969823,B
AK Prince of Wales-Hyder,0.2985837008399991,0.3957907196139717,0.3926462620307435,C
AK Petersburg,0.38458719225568777,0.3262131144569546,0.35545055713979246,C
AK Sitka,0.6585241761518538,0.29704970640118333,0.09185772248784241,B
AK Ketchikan Gateway,0.4104744572710699,0.38164309173073746,0.30510503801811517,C
AK Wrangell,0.4168431141806272,0.3310889500997986,0.2725530810345519,B
