Name,S1,S2,S3,S4,Cluster
AL Autauga,0.4720139475840253,0.4951492929348275,0.08820036243183141,0.05213709401553476,B
AL Baldwin,0.5544661478570365,0.31092984308834215,0.02592423816818926,0.14879245470727095,B
AL Barbour,0.0005747178076443738,0.9080286313284948,0.08875933028176873,0.19786825724645968,C
AL Bibb,0.3092521180056088,0.7938397636673084,0.04651750550964141,0.0002741011833536891,C
AL Blount,0.4804379372846227,0.5855737437444845,0.01068191853525296,0.0039011439705953846,B
AL Bullock,1.6950973146693997e-16,0.7348343129937678,0.4189184221987702,0.14776175358945504,C
AL Butler,0.1690349318813696,0.7394912022310802,0.38504725050417554,0.010252605658820448,C
AL Calhoun,0.2882816212822522,0.7121583911267306,0.026467049787664763,0.11582934220684368,C
AL Chambers,0.2238604362743639,0.7271736447259649,0.2865256039987461,0.015684693473279197,C
AL Cherokee,0.43105492542285295,0.6325109768582052,0.04846665269934935,8.747325641977619e-17,B
AL Chilton,0.30436138733757584,0.7648419251928674,0.03368054754956289,0.032757636686222606,C
AL Choctaw,0.18244826698792138,0.7533423804208975,0.2737226807599297,0.0008794455104632913,C
AL Clarke,0.14755263735053667,0.7735718262984689,0.13529261462925662,0.08827804969225833,C
AL Clay,0.341023516913123,0.721823733983833,0.06790441655826386,8.747325641977619e-17,C
AL Cleburne,0.36726421399642367,0.7365896535582706,0.030656938624651478,8.747325641977619e-17,B
AL Coffee,0.42690610017443215,0.569644233999623,0.028650979658958763,0.06515899267701163,B
AL Colbert,0.4628281162318673,0.577226208741576,0.06593262392493499,0.018888840274393588,B
AL Conecuh,0.14144162565593177,0.9171970210484569,0.18194759625564505,8.747325641977619e-17,C
AL Coosa,0.3277407452310208,0.7453102076985724,0.06599610990254197,0.000200578046880396,C
AL Covington,0.3864907779477362,0.6761250115793794,0.08722127803466483,8.747325641977619e-17,B
AL Crenshaw,0.27266002159041053,0.7496266866132727,0.1701472731535916,2.1629904319785315e-7,C
AL Cullman,0.48674643751975866,0.6059810861378413,0.01650484547171381,1.5571121960612075e-11,B
AL Dale,0.3767998466406485,0.6172972003286371,0.0909361814654406,0.044514186965892905,B
AL Dallas,1.6950973146693997e-16,0.8717806402733678,0.20709665654465254,0.21233365753992114,C
AL DeKalb,0.2963220901482764,0.7583496664825637,0.03959254386064839,0.04752483065860015,C
AL Elmore,0.45160834115774623,0.5264139834596735,0.0881537184316315,0.05963520549352443,B
AL Escambia,0.23014603143094012,0.8057242175810013,0.10079765807958498,0.023126910648361025,C
AL Etowah,0.3426517276366884,0.6954505351645809,0.058095951196564175,0.06199507089582881,C
AL Fayette,0.3602928225420474,0.7575649045567119,0.05079406894746575,8.747325641977619e-17,C
AL Franklin,0.19394137834552896,0.7669405242583628,0.15624649474294922,0.10706199275837787,C
AL Geneva,0.3763336057304742,0.7321795534182874,0.007500930286939876,8.747325641977619e-17,B
AL Greene,1.6950973146693997e-16,0.8573631749278254,0.3529596214776748,0.11215316686736743,C
AL Hale,4.511461514236531e-6,0.8158502277590297,0.3816717497737665,0.09132474591474897,C
AL Henry,0.42058690201928794,0.5954603375717951,0.07034116613149559,0.009181853054788868,B
AL Houston,0.39339595726942733,0.5916505751255149,0.03310649289567422,0.0783771483594373,B
AL Jackson,0.39984818916270587,0.7016962718341947,0.023311756043082155,8.747325641977619e-17,B
AL Jefferson,0.115970553641177,0.5582044561980413,0.07696413967042007,0.3917847789555475,C
AL Lamar,0.34420319819383893,0.7640104730920589,0.02019845933148568,8.747325641977619e-17,C
AL Lauderdale,0.525336308968465,0.47857601292178875,0.027554446937099134,0.05429028725849425,B
AL Lawrence,0.4279170870856609,0.6791209935360095,0.0030054819320032727,8.747325641977619e-17,B
AL Lee,0.2810759394654977,0.4373545109551295,0.08963645304325533,0.2779145258174925,C
AL Limestone,0.5219322872208038,0.448873462239861,0.021062180487015515,0.06978296629095643,B
AL Lowndes,1.6950973146693997e-16,0.759221891741637,0.622289786731433,0.050177536323706355,C
AL Macon,1.6950973146693997e-16,0.7753105622838283,0.20049025205923923,0.27280265297088163,C
AL Madison,0.4323215695810681,0.30926014978398664,0.019473493483452495,0.2857754392699389,B
AL Marengo,0.05508395144902674,0.7804742743540033,0.21619725185887254,0.14117708728409764,C
AL Marion,0.3247441570668131,0.7385290813657288,0.13583506944368287,8.747325641977619e-17,C
AL Marshall,0.3536018866131169,0.663325628995238,0.08568120710827501,0.06954909678761063,C
AL Mobile,0.19624534660527954,0.6030329715909789,0.11679047662292723,0.23839138624966175,C
AL Monroe,0.22559026034283333,0.7897194128663039,0.09056993780388277,0.044842045821335386,C
AL Montgomery,3.066325041123328e-8,0.5994172396166624,0.16924094502514414,0.40807643003626554,C
AL Morgan,0.4226399036041822,0.5695482429049741,0.030098313959852886,0.10030259626109983,B
AL Perry,1.6950973146693997e-16,0.9697917999980663,0.1942351967886737,0.16469251111568295,C
AL Pickens,0.20067657451598922,0.7729737356308737,0.12514880181416277,0.08882191765645452,C
AL Pike,0.17478905566084238,0.7145961641866754,0.06923704435668869,0.1946568693445709,C
AL Randolph,0.3518233749317093,0.6845174236573288,0.12133274770468343,8.747325641977619e-17,C
AL Russell,0.03715963136916964,0.805184609662042,0.02293112198376455,0.25777121093187016,C
AL St Clair,0.5171383095118438,0.5263259415855394,0.02862269095580583,0.006518939130965474,B
AL Shelby,0.6376801910829669,0.13672965165008288,0.046660249045648104,0.15292020569638934,A
AL Sumter,1.6950973146693997e-16,0.76966757144008,0.35265489177765347,0.15857107705271603,C
AL Talladega,0.23628977003817214,0.7570221996765834,0.038260693119177694,0.10582301527327181,C
AL Tallapoosa,0.27351926107838764,0.6042830529545171,0.406806578610111,8.747325641977619e-17,C
AL Tuscaloosa,0.2702701361498967,0.49645598032264454,0.07528540010579068,0.2567733037298956,C
AL Walker,0.2520294916884121,0.8587795230916841,0.13377703347106581,8.747325641977619e-17,C
AL Washington,0.21777152234421832,0.8021443742405537,0.1503999202884922,8.747325641977619e-17,C
AL Wilcox,1.6950973146693997e-16,0.887913138824979,0.35364266101000796,0.07921087828095072,C
AL Winston,0.3460239470153649,0.7797059474052364,0.05981620261040452,8.747325641977619e-17,C
AK Fairbanks North Star,0.22559611830535503,0.23580410481320763,0.009199705338227877,0.5037721841280327,D
AK Denali,0.2969879294691041,0.1092247505719297,5.900699817974441e-17,0.5683577700811272,D
