Name,S1,S2,S3,S4,S5,S6,Cluster
AL Autauga,0.6997238,0.35572773,1.8058345e-10,7.436674e-17,0.13558091,0.08751847,A
AL Baldwin,0.50398403,0.4652879,3.800638e-9,7.436674e-17,0.22058958,0.017610643,A
AL Barbour,0.5136797,0.010849851,0.00054930215,0.55001384,0.20987059,0.07688385,E
AL Bibb,0.81091845,0.18216702,3.3023437e-7,0.2296592,0.04961048,0.049007874,A
AL Blount,0.8074834,0.36401013,1.08797994e-16,7.436674e-17,0.06836922,0.012740928,A
AL Bullock,0.21771678,1.212511e-16,1.74918e-12,0.6722373,0.20260203,0.38070172,E
AL Butler,0.69688565,0.13993904,0.026975324,0.19501646,0.048755072,0.38597038,A
AL Calhoun,0.91747457,0.16073483,0.0002587077,7.123859e-11,0.20446599,0.026499474,A
AL Chambers,0.78819513,0.10227992,0.09277064,0.13235746,0.036868777,0.28689888,A
AL Cherokee,0.7536675,0.36367145,8.8919566e-11,0.11903526,0.00039474352,0.05408752,A
AL Chilton,0.85090584,0.20751224,1.08797994e-16,0.1038097,0.10708282,0.03681697,A
AL Choctaw,0.43212298,0.14383803,0.044675954,0.5158312,0.00067342375,0.25382817,E
AL Clarke,0.624676,0.05749845,0.06600823,0.34196472,0.09148285,0.13122837,A
AL Clay,0.78084177,0.30514222,1.08797994e-16,0.14252761,5.3240773e-11,0.08093032,A
AL Cleburne,0.6793875,0.3483641,8.3341763e-16,0.25354373,3.8310127e-15,0.034168813,A
AL Coffee,0.7560061,0.3195088,3.448084e-16,2.3719778e-12,0.15639952,0.026743304,A
AL Colbert,0.8140403,0.26335964,0.08659274,2.72113e-11,0.07100237,0.06878796,A
AL Conecuh,0.698472,0.09044285,0.0030937546,0.43549418,0.0116892,0.18076044,A
AL Coosa,0.5647733,0.23475522,0.031393606,0.40765196,0.018227028,0.060001306,A
AL Covington,0.8790357,0.30538675,3.5701084e-10,0.00050664466,0.045281377,0.097374775,A
AL Crenshaw,0.63367736,0.26500478,2.8566578e-11,0.25886032,0.038308114,0.17884125,A
AL Cullman,0.8784734,0.34231958,1.08797994e-16,7.436674e-17,0.042823084,0.018993761,A
AL Dale,0.7967963,0.28003803,6.840544e-13,3.2467276e-5,0.12845537,0.09518258,A
