FID,id,X,Y,OBJECTID,TNMID,HUC8,NAME,GLOBALID,gridcell,HUC8i
0,262544,-113.031250000000000,32.906250000000000,784.000000000000000,{6F5E8A35-61CB-4AD1-B99F-306D858EDBDA},15070202,Tenmile Wash,{7ADCEDAB-A091-453F-BA9B-74F818EA6F4A},180561,15070202
1,252942,-112.531250000000000,33.531250000000000,779.000000000000000,{A3B0E93C-D484-4FD2-BD86-18FB13FF24A9},15070101,Lower Gila-Painted Rock Reservoir,{1BD020D7-BC1C-4A71-B0A4-B4A7FB76A741},174474,15070101
2,166483,-110.593750000000000,39.156250000000000,1076.000000000000000,{FFDD0361-85E6-4DEC-BC3B-433D9C85B4B6},14060008,Lower Green,{BD03DF76-7E6E-4DDF-BD8C-5C87CE36194E},109908,14060008
3,222148,-115.156250000000000,35.531250000000000,906.000000000000000,{82F5A5F6-C791-4D30-A113-A3D463A95367},15030102,Piute Wash,{66D79203-EC84-4F87-A452-AE5297736B7A},152767,15030102
4,240500,-109.343750000000000,34.343750000000000,738.000000000000000,{71DC02F5-D29A-44DD-B537-82027DBB6AEF},15020001,Little Colorado Headwaters,{8DC55941-1DF1-4847-B0A7-46FC353948A9},166158,15020001
5,240472,-111.093750000000000,34.343750000000000,775.000000000000000,{CF795DB8-822B-4CA4-8D4F-4319336979AA},15060105,Tonto,{83029679-49C3-4CB0-80FA-9A1B23A85301},166130,15060105
6,173251,-108.031250000000000,38.718750000000000,1232.000000000000000,{1C6E13B8-EC5B-4155-B030-71226053A437},14020006,Uncompahgre,{BAA7696B-31B1-490A-8BEA-AF17E5A53097},115325,14020006
7,197249,-109.718750000000000,37.156250000000000,898.000000000000000,{BCFFA668-8A9C-47EE-BBA0-A982BDF57B9F},14080204,Chinle,{E7085953-7165-45BD-8070-C94FB7DD98C8},133893,14080204
8,203000,-110.656250000000000,36.781250000000000,752.000000000000000,{E0D05FB2-3A64-4F1C-AD4C-D81FE6BDFD00},15020018,Moenkopi Wash,{EE2E771C-8447-4D5A-A7D3-D45DB10E685B},138252,15020018
9,177085,-108.656250000000000,38.468750000000000,1234.000000000000000,{DA716EBF-BDBF-4D5F-96B0-28D8674E420D},14030003,San Miguel,{3F32843E-A922-4595-93FC-2E26AA154353},118369,14030003
