Blue,5
Tomichi,4
Eagle,5
East-Taylor,5
Colorado Headwaters,5
Piedra,4
Roaring Fork,5
Upper Yampa,5
North Fork Gunnison,4
Blanco Canyon,2
Upper Gunnison,4
Animas,4
Uncompahgre,4
Upper San Juan,4
Muddy Four,5
Upper White,5
Piceance-Yellow,5
Little Snake,5
Upper Gila,2
San Miguel,4
Lower Gunnison,4
Mancos,4
Vermilion,5
Chaco,1
Lower Yampa,5
Animas Valley,2
Colorado Headwaters-Plateau,4
McElmo,4
Middle San Juan,1
Upper Dolores,4
Upper Puerco,1
Lower Dolores,4
Upper Gila-Mangas,2
San Francisco,2
Carrizo Wash,2
Bitter,5
Montezuma,4
Little Colorado Headwaters,2
Lower White,4
Zuni,2
Westwater Canyon,4
San Simon,2
Big Sandy High,5
Upper Colorado-Kane Springs,4
Willow,4
Lower San Juan-Four Corners,1
Lower Green-Diamond,5
New Fork,5
Lower Puerco,1
White One,2
Black,2
Leroux Wash,1
Upper Little Colorado,2
Silver,2
Upper Green-Flaming Gorge Reservoir,5
Upper Green-Slate,5
Chinle,1
Upper San Pedro,2
Upper Gila-San Carlos Reservoir,2
Cottonwood Wash,1
Lower Green,4
Carrizo,2
Lower Green-Desolation Canyon,4
Upper Green,5
Dirty Devil,1
San Carlos,2
Jadito Wash,1
Blacks Fork,5
Lower San Juan,1
Lower San Pedro,2
Corn-Oraibi,1
Muddy One,5
Rillito,2
Chevelon Canyon,2
Polacca Wash,1
Upper Lake Powell,1
Upper Salt,2
Duchesne,5
Dinnebito Wash,1
Upper Santa Cruz,2
Strawberry,5
Middle Little Colorado,2
Price,4
Tonto,2
San Rafael,4
Moenkopi Wash,1
Brawley Wash,2
Muddy Two,4
Canyon Diablo,1
Escalante,1
Fremont,4
Aguirre Valley,2
Lower Verde,1
Lower Little Colorado,1
Lower Lake Powell,1
Lower Colorado-Marble Canyon,1
Lower Salt,3
Middle Gila,3
Paria,1
Lower Santa Cruz,3
Santa Rosa Wash,1
Upper Verde,1
Aqua Fria,1
Lower Gila-Painted Rock Reservoir,3
Havasu Canyon,1
Kanab,1
Hassayampa,1
Big Chino-Williamson Valley,1
Tenmile Wash,3
Santa Maria,1
Burro,1
Fort Pearce Wash,3
Centennial Wash,3
San Cristobal Wash,3
Grand Canyon,1
Big Sandy Low,1
Upper Virgin,3
Bill Williams,3
Grand Wash,3
Red Lake,3
Tyson Wash,3
Bouse Wash,3
Sacramento Wash,3
Lower Virgin,3
Lower Gila,3
Detrital Wash,3
Meadow Valley Wash,3
Havasu-Mohave Lakes,3
Lake Mead,3
Muddy Three,3
Imperial Reservoir,3
Piute Wash,3
White Two,3
Las Vegas Wash,3
