Blue,1
Tomichi,1
Eagle,1
East-Taylor,1
Colorado Headwaters,1
Piedra,1
Roaring Fork,1
Upper Yampa,1
North Fork Gunnison,1
Blanco Canyon,3
Upper Gunnison,1
Animas,1
Uncompahgre,1
Upper San Juan,1
Muddy Four,1
Upper White,1
Piceance-Yellow,1
Little Snake,1
Upper Gila,2
San Miguel,1
Lower Gunnison,1
Mancos,3
Vermilion,1
Chaco,3
Lower Yampa,1
Animas Valley,2
Colorado Headwaters-Plateau,1
McElmo,3
Middle San Juan,3
Upper Dolores,1
Upper Puerco,3
Lower Dolores,1
Upper Gila-Mangas,2
San Francisco,2
Carrizo Wash,2
Bitter,1
Montezuma,3
Little Colorado Headwaters,2
Lower White,1
Zuni,2
Westwater Canyon,3
San Simon,2
Big Sandy High,1
Upper Colorado-Kane Springs,3
Willow,1
Lower San Juan-Four Corners,3
Lower Green-Diamond,1
New Fork,1
Lower Puerco,2
White One,2
Black,2
Leroux Wash,2
Upper Little Colorado,2
Silver,2
Upper Green-Flaming Gorge Reservoir,1
Upper Green-Slate,1
Chinle,3
Upper San Pedro,2
Upper Gila-San Carlos Reservoir,2
Cottonwood Wash,3
Lower Green,3
Carrizo,2
Lower Green-Desolation Canyon,1
Upper Green,1
Dirty Devil,3
San Carlos,2
Jadito Wash,2
Blacks Fork,1
Lower San Juan,3
Lower San Pedro,2
Corn-Oraibi,3
Muddy One,1
Rillito,2
Chevelon Canyon,2
Polacca Wash,3
Upper Lake Powell,3
Upper Salt,2
Duchesne,1
Dinnebito Wash,3
Upper Santa Cruz,2
Strawberry,1
Middle Little Colorado,2
Price,1
Tonto,2
San Rafael,3
Moenkopi Wash,3
Brawley Wash,2
Muddy Two,3
Canyon Diablo,2
Escalante,3
Fremont,3
Aguirre Valley,2
Lower Verde,2
Lower Little Colorado,2
Lower Lake Powell,3
Lower Colorado-Marble Canyon,3
Lower Salt,4
Middle Gila,4
Paria,3
Lower Santa Cruz,4
Santa Rosa Wash,4
Upper Verde,2
Aqua Fria,4
Lower Gila-Painted Rock Reservoir,4
Havasu Canyon,2
Kanab,3
Hassayampa,4
Big Chino-Williamson Valley,2
Tenmile Wash,4
Santa Maria,4
Burro,4
Fort Pearce Wash,3
Centennial Wash,4
San Cristobal Wash,4
Grand Canyon,2
Big Sandy Low,4
Upper Virgin,3
Bill Williams,4
Grand Wash,4
Red Lake,4
Tyson Wash,4
Bouse Wash,4
Sacramento Wash,4
Lower Virgin,4
Lower Gila,4
Detrital Wash,4
Meadow Valley Wash,3
Havasu-Mohave Lakes,4
Lake Mead,4
Muddy Three,4
Imperial Reservoir,4
Piute Wash,4
White Two,3
Las Vegas Wash,4
