Blue,1
Tomichi,1
Eagle,1
East-Taylor,1
Colorado Headwaters,1
Piedra,2
Roaring Fork,1
Upper Yampa,1
North Fork Gunnison,1
Blanco Canyon,3
Upper Gunnison,1
Animas,1
Uncompahgre,1
Upper San Juan,2
Muddy Four,1
Upper White,1
Piceance-Yellow,1
Little Snake,1
Upper Gila,3
San Miguel,1
Lower Gunnison,1
Mancos,1
Vermilion,1
Chaco,3
Lower Yampa,1
Animas Valley,3
Colorado Headwaters-Plateau,1
McElmo,1
Middle San Juan,2
Upper Dolores,1
Upper Puerco,3
Lower Dolores,1
Upper Gila-Mangas,3
San Francisco,3
Carrizo Wash,3
Bitter,1
Montezuma,1
Little Colorado Headwaters,3
Lower White,1
Zuni,3
Westwater Canyon,1
San Simon,3
Big Sandy High,1
Upper Colorado-Kane Springs,1
Willow,1
Lower San Juan-Four Corners,2
Lower Green-Diamond,1
New Fork,1
Lower Puerco,3
White One,3
Black,3
Leroux Wash,3
Upper Little Colorado,3
Silver,3
Upper Green-Flaming Gorge Reservoir,1
Upper Green-Slate,1
Chinle,3
Upper San Pedro,3
Upper Gila-San Carlos Reservoir,3
Cottonwood Wash,3
Lower Green,1
Carrizo,2
Lower Green-Desolation Canyon,1
Upper Green,1
Dirty Devil,1
San Carlos,3
Jadito Wash,3
Blacks Fork,1
Lower San Juan,2
Lower San Pedro,3
Corn-Oraibi,3
Muddy One,1
Rillito,3
Chevelon Canyon,3
Polacca Wash,3
Upper Lake Powell,2
Upper Salt,2
Duchesne,1
Dinnebito Wash,3
Upper Santa Cruz,3
Strawberry,1
Middle Little Colorado,3
Price,1
Tonto,2
San Rafael,1
Moenkopi Wash,2
Brawley Wash,3
Muddy Two,1
Canyon Diablo,2
Escalante,2
Fremont,1
Aguirre Valley,3
Lower Verde,2
Lower Little Colorado,2
Lower Lake Powell,2
Lower Colorado-Marble Canyon,2
Lower Salt,2
Middle Gila,3
Paria,2
Lower Santa Cruz,3
Santa Rosa Wash,3
Upper Verde,2
Aqua Fria,2
Lower Gila-Painted Rock Reservoir,2
Havasu Canyon,2
Kanab,2
Hassayampa,2
Big Chino-Williamson Valley,2
Tenmile Wash,3
Santa Maria,2
Burro,2
Fort Pearce Wash,2
Centennial Wash,2
San Cristobal Wash,3
Grand Canyon,2
Big Sandy Low,2
Upper Virgin,2
Bill Williams,2
Grand Wash,2
Red Lake,2
Tyson Wash,2
Bouse Wash,2
Sacramento Wash,2
Lower Virgin,2
Lower Gila,2
Detrital Wash,2
Meadow Valley Wash,2
Havasu-Mohave Lakes,2
Lake Mead,2
Muddy Three,2
Imperial Reservoir,2
Piute Wash,2
White Two,1
Las Vegas Wash,2
