Blue,2
Tomichi,1
Eagle,1
East-Taylor,1
Colorado Headwaters,2
Piedra,1
Roaring Fork,1
Upper Yampa,2
North Fork Gunnison,1
Blanco Canyon,1
Upper Gunnison,1
Animas,1
Uncompahgre,1
Upper San Juan,1
Muddy Four,2
Upper White,1
Piceance-Yellow,1
Little Snake,2
Upper Gila,1
San Miguel,1
Lower Gunnison,1
Mancos,1
Vermilion,2
Chaco,1
Lower Yampa,1
Animas Valley,1
Colorado Headwaters-Plateau,1
McElmo,1
Middle San Juan,1
Upper Dolores,1
Upper Puerco,1
Lower Dolores,1
Upper Gila-Mangas,1
San Francisco,1
Carrizo Wash,1
Bitter,2
Montezuma,1
Little Colorado Headwaters,1
Lower White,1
Zuni,1
Westwater Canyon,1
San Simon,2
Big Sandy High,2
Upper Colorado-Kane Springs,1
Willow,1
Lower San Juan-Four Corners,1
Lower Green-Diamond,1
New Fork,2
Lower Puerco,1
White One,1
Black,1
Leroux Wash,1
Upper Little Colorado,1
Silver,1
Upper Green-Flaming Gorge Reservoir,2
Upper Green-Slate,2
Chinle,1
Upper San Pedro,2
Upper Gila-San Carlos Reservoir,1
Cottonwood Wash,1
Lower Green,1
Carrizo,1
Lower Green-Desolation Canyon,1
Upper Green,2
Dirty Devil,1
San Carlos,2
Jadito Wash,1
Blacks Fork,2
Lower San Juan,1
Lower San Pedro,2
Corn-Oraibi,1
Muddy One,2
Rillito,2
Chevelon Canyon,1
Polacca Wash,1
Upper Lake Powell,1
Upper Salt,2
Duchesne,1
Dinnebito Wash,1
Upper Santa Cruz,2
Strawberry,1
Middle Little Colorado,1
Price,1
Tonto,2
San Rafael,1
Moenkopi Wash,1
Brawley Wash,2
Muddy Two,1
Canyon Diablo,1
Escalante,1
Fremont,1
Aguirre Valley,2
Lower Verde,2
Lower Little Colorado,1
Lower Lake Powell,1
Lower Colorado-Marble Canyon,1
Lower Salt,2
Middle Gila,2
Paria,1
Lower Santa Cruz,2
Santa Rosa Wash,2
Upper Verde,2
Aqua Fria,2
Lower Gila-Painted Rock Reservoir,2
Havasu Canyon,2
Kanab,2
Hassayampa,2
Big Chino-Williamson Valley,2
Tenmile Wash,2
Santa Maria,2
Burro,2
Fort Pearce Wash,2
Centennial Wash,2
San Cristobal Wash,2
Grand Canyon,2
Big Sandy Low,2
Upper Virgin,2
Bill Williams,2
Grand Wash,2
Red Lake,2
Tyson Wash,2
Bouse Wash,2
Sacramento Wash,2
Lower Virgin,2
Lower Gila,2
Detrital Wash,2
Meadow Valley Wash,2
Havasu-Mohave Lakes,2
Lake Mead,2
Muddy Three,2
Imperial Reservoir,2
Piute Wash,2
White Two,2
Las Vegas Wash,2
