Blue,5
Tomichi,3
Eagle,5
East-Taylor,5
Colorado Headwaters,5
Piedra,3
Roaring Fork,5
Upper Yampa,3
North Fork Gunnison,3
Blanco Canyon,1
Upper Gunnison,3
Animas,3
Uncompahgre,3
Upper San Juan,3
Muddy Four,2
Upper White,5
Piceance-Yellow,1
Little Snake,3
Upper Gila,4
San Miguel,3
Lower Gunnison,3
Mancos,3
Vermilion,1
Chaco,1
Lower Yampa,2
Animas Valley,1
Colorado Headwaters-Plateau,3
McElmo,2
Middle San Juan,2
Upper Dolores,3
Upper Puerco,2
Lower Dolores,3
Upper Gila-Mangas,4
San Francisco,4
Carrizo Wash,1
Bitter,2
Montezuma,2
Little Colorado Headwaters,1
Lower White,1
Zuni,1
Westwater Canyon,2
San Simon,1
Big Sandy High,5
Upper Colorado-Kane Springs,2
Willow,3
Lower San Juan-Four Corners,2
Lower Green-Diamond,3
New Fork,5
Lower Puerco,1
White One,4
Black,4
Leroux Wash,1
Upper Little Colorado,1
Silver,1
Upper Green-Flaming Gorge Reservoir,3
Upper Green-Slate,2
Chinle,1
Upper San Pedro,1
Upper Gila-San Carlos Reservoir,1
Cottonwood Wash,1
Lower Green,1
Carrizo,4
Lower Green-Desolation Canyon,1
Upper Green,5
Dirty Devil,1
San Carlos,4
Jadito Wash,1
Blacks Fork,5
Lower San Juan,2
Lower San Pedro,1
Corn-Oraibi,2
Muddy One,2
Rillito,1
Chevelon Canyon,4
Polacca Wash,2
Upper Lake Powell,2
Upper Salt,4
Duchesne,3
Dinnebito Wash,2
Upper Santa Cruz,1
Strawberry,3
Middle Little Colorado,4
Price,3
Tonto,4
San Rafael,3
Moenkopi Wash,2
Brawley Wash,1
Muddy Two,3
Canyon Diablo,2
Escalante,2
Fremont,2
Aguirre Valley,1
Lower Verde,4
Lower Little Colorado,1
Lower Lake Powell,2
Lower Colorado-Marble Canyon,2
Lower Salt,4
Middle Gila,4
Paria,2
Lower Santa Cruz,1
Santa Rosa Wash,1
Upper Verde,4
Aqua Fria,4
Lower Gila-Painted Rock Reservoir,1
Havasu Canyon,1
Kanab,2
Hassayampa,2
Big Chino-Williamson Valley,4
Tenmile Wash,1
Santa Maria,1
Burro,1
Fort Pearce Wash,2
Centennial Wash,1
San Cristobal Wash,1
Grand Canyon,2
Big Sandy Low,1
Upper Virgin,2
Bill Williams,1
Grand Wash,2
Red Lake,1
Tyson Wash,1
Bouse Wash,1
Sacramento Wash,1
Lower Virgin,2
Lower Gila,1
Detrital Wash,1
Meadow Valley Wash,2
Havasu-Mohave Lakes,1
Lake Mead,1
Muddy Three,2
Imperial Reservoir,1
Piute Wash,1
White Two,2
Las Vegas Wash,2
