Blue,5
Tomichi,5
Eagle,5
East-Taylor,5
Colorado Headwaters,5
Piedra,5
Roaring Fork,5
Upper Yampa,5
North Fork Gunnison,5
Blanco Canyon,1
Upper Gunnison,5
Animas,5
Uncompahgre,5
Upper San Juan,5
Muddy Four,4
Upper White,5
Piceance-Yellow,4
Little Snake,4
Upper Gila,1
San Miguel,5
Lower Gunnison,5
Mancos,2
Vermilion,4
Chaco,2
Lower Yampa,4
Animas Valley,1
Colorado Headwaters-Plateau,4
McElmo,2
Middle San Juan,2
Upper Dolores,5
Upper Puerco,1
Lower Dolores,4
Upper Gila-Mangas,1
San Francisco,1
Carrizo Wash,1
Bitter,4
Montezuma,2
Little Colorado Headwaters,1
Lower White,4
Zuni,1
Westwater Canyon,4
San Simon,1
Big Sandy High,4
Upper Colorado-Kane Springs,2
Willow,4
Lower San Juan-Four Corners,2
Lower Green-Diamond,4
New Fork,4
Lower Puerco,1
White One,1
Black,1
Leroux Wash,1
Upper Little Colorado,1
Silver,1
Upper Green-Flaming Gorge Reservoir,4
Upper Green-Slate,4
Chinle,2
Upper San Pedro,1
Upper Gila-San Carlos Reservoir,1
Cottonwood Wash,1
Lower Green,2
Carrizo,1
Lower Green-Desolation Canyon,4
Upper Green,4
Dirty Devil,2
San Carlos,1
Jadito Wash,1
Blacks Fork,4
Lower San Juan,2
Lower San Pedro,1
Corn-Oraibi,2
Muddy One,4
Rillito,1
Chevelon Canyon,1
Polacca Wash,2
Upper Lake Powell,2
Upper Salt,1
Duchesne,4
Dinnebito Wash,2
Upper Santa Cruz,1
Strawberry,4
Middle Little Colorado,1
Price,4
Tonto,1
San Rafael,2
Moenkopi Wash,2
Brawley Wash,1
Muddy Two,2
Canyon Diablo,1
Escalante,2
Fremont,2
Aguirre Valley,1
Lower Verde,1
Lower Little Colorado,2
Lower Lake Powell,2
Lower Colorado-Marble Canyon,2
Lower Salt,3
Middle Gila,3
Paria,2
Lower Santa Cruz,3
Santa Rosa Wash,3
Upper Verde,2
Aqua Fria,3
Lower Gila-Painted Rock Reservoir,3
Havasu Canyon,2
Kanab,2
Hassayampa,3
Big Chino-Williamson Valley,2
Tenmile Wash,3
Santa Maria,3
Burro,3
Fort Pearce Wash,2
Centennial Wash,3
San Cristobal Wash,3
Grand Canyon,2
Big Sandy Low,3
Upper Virgin,2
Bill Williams,3
Grand Wash,3
Red Lake,3
Tyson Wash,3
Bouse Wash,3
Sacramento Wash,3
Lower Virgin,3
Lower Gila,3
Detrital Wash,3
Meadow Valley Wash,3
Havasu-Mohave Lakes,3
Lake Mead,3
Muddy Three,3
Imperial Reservoir,3
Piute Wash,3
White Two,4
Las Vegas Wash,3
