Blue,2
Tomichi,2
Eagle,2
East-Taylor,2
Colorado Headwaters,2
Piedra,2
Roaring Fork,2
Upper Yampa,2
North Fork Gunnison,2
Blanco Canyon,1
Upper Gunnison,2
Animas,2
Uncompahgre,2
Upper San Juan,2
Muddy Four,2
Upper White,2
Piceance-Yellow,2
Little Snake,2
Upper Gila,4
San Miguel,2
Lower Gunnison,2
Mancos,1
Vermilion,2
Chaco,1
Lower Yampa,2
Animas Valley,4
Colorado Headwaters-Plateau,2
McElmo,1
Middle San Juan,1
Upper Dolores,2
Upper Puerco,1
Lower Dolores,2
Upper Gila-Mangas,4
San Francisco,4
Carrizo Wash,4
Bitter,2
Montezuma,1
Little Colorado Headwaters,4
Lower White,2
Zuni,4
Westwater Canyon,1
San Simon,4
Big Sandy High,2
Upper Colorado-Kane Springs,1
Willow,2
Lower San Juan-Four Corners,1
Lower Green-Diamond,2
New Fork,2
Lower Puerco,4
White One,4
Black,4
Leroux Wash,1
Upper Little Colorado,4
Silver,4
Upper Green-Flaming Gorge Reservoir,2
Upper Green-Slate,2
Chinle,1
Upper San Pedro,4
Upper Gila-San Carlos Reservoir,4
Cottonwood Wash,1
Lower Green,1
Carrizo,4
Lower Green-Desolation Canyon,2
Upper Green,2
Dirty Devil,1
San Carlos,4
Jadito Wash,1
Blacks Fork,2
Lower San Juan,1
Lower San Pedro,4
Corn-Oraibi,1
Muddy One,2
Rillito,4
Chevelon Canyon,4
Polacca Wash,1
Upper Lake Powell,1
Upper Salt,4
Duchesne,2
Dinnebito Wash,1
Upper Santa Cruz,4
Strawberry,2
Middle Little Colorado,4
Price,2
Tonto,1
San Rafael,2
Moenkopi Wash,1
Brawley Wash,4
Muddy Two,1
Canyon Diablo,1
Escalante,1
Fremont,1
Aguirre Valley,4
Lower Verde,1
Lower Little Colorado,1
Lower Lake Powell,1
Lower Colorado-Marble Canyon,1
Lower Salt,3
Middle Gila,3
Paria,1
Lower Santa Cruz,3
Santa Rosa Wash,3
Upper Verde,1
Aqua Fria,3
Lower Gila-Painted Rock Reservoir,3
Havasu Canyon,1
Kanab,1
Hassayampa,3
Big Chino-Williamson Valley,4
Tenmile Wash,3
Santa Maria,3
Burro,3
Fort Pearce Wash,1
Centennial Wash,3
San Cristobal Wash,3
Grand Canyon,1
Big Sandy Low,3
Upper Virgin,1
Bill Williams,3
Grand Wash,3
Red Lake,3
Tyson Wash,3
Bouse Wash,3
Sacramento Wash,3
Lower Virgin,1
Lower Gila,3
Detrital Wash,3
Meadow Valley Wash,1
Havasu-Mohave Lakes,3
Lake Mead,3
Muddy Three,3
Imperial Reservoir,3
Piute Wash,3
White Two,1
Las Vegas Wash,3
