Blue,4
Tomichi,4
Eagle,4
East-Taylor,4
Colorado Headwaters,4
Piedra,4
Roaring Fork,4
Upper Yampa,4
North Fork Gunnison,4
Blanco Canyon,2
Upper Gunnison,4
Animas,4
Uncompahgre,4
Upper San Juan,2
Muddy Four,5
Upper White,4
Piceance-Yellow,4
Little Snake,5
Upper Gila,3
San Miguel,4
Lower Gunnison,4
Mancos,2
Vermilion,5
Chaco,2
Lower Yampa,5
Animas Valley,3
Colorado Headwaters-Plateau,4
McElmo,2
Middle San Juan,2
Upper Dolores,4
Upper Puerco,2
Lower Dolores,4
Upper Gila-Mangas,3
San Francisco,3
Carrizo Wash,3
Bitter,5
Montezuma,2
Little Colorado Headwaters,3
Lower White,5
Zuni,3
Westwater Canyon,4
San Simon,3
Big Sandy High,5
Upper Colorado-Kane Springs,2
Willow,4
Lower San Juan-Four Corners,2
Lower Green-Diamond,5
New Fork,5
Lower Puerco,2
White One,3
Black,3
Leroux Wash,2
Upper Little Colorado,3
Silver,3
Upper Green-Flaming Gorge Reservoir,5
Upper Green-Slate,5
Chinle,2
Upper San Pedro,3
Upper Gila-San Carlos Reservoir,3
Cottonwood Wash,2
Lower Green,2
Carrizo,3
Lower Green-Desolation Canyon,5
Upper Green,5
Dirty Devil,2
San Carlos,3
Jadito Wash,2
Blacks Fork,5
Lower San Juan,2
Lower San Pedro,3
Corn-Oraibi,2
Muddy One,5
Rillito,3
Chevelon Canyon,3
Polacca Wash,2
Upper Lake Powell,2
Upper Salt,1
Duchesne,5
Dinnebito Wash,2
Upper Santa Cruz,3
Strawberry,5
Middle Little Colorado,3
Price,4
Tonto,1
San Rafael,4
Moenkopi Wash,2
Brawley Wash,3
Muddy Two,2
Canyon Diablo,1
Escalante,2
Fremont,2
Aguirre Valley,3
Lower Verde,1
Lower Little Colorado,2
Lower Lake Powell,2
Lower Colorado-Marble Canyon,2
Lower Salt,1
Middle Gila,1
Paria,2
Lower Santa Cruz,1
Santa Rosa Wash,3
Upper Verde,1
Aqua Fria,1
Lower Gila-Painted Rock Reservoir,1
Havasu Canyon,1
Kanab,1
Hassayampa,1
Big Chino-Williamson Valley,1
Tenmile Wash,1
Santa Maria,1
Burro,1
Fort Pearce Wash,1
Centennial Wash,1
San Cristobal Wash,3
Grand Canyon,1
Big Sandy Low,1
Upper Virgin,1
Bill Williams,1
Grand Wash,1
Red Lake,1
Tyson Wash,1
Bouse Wash,1
Sacramento Wash,1
Lower Virgin,1
Lower Gila,1
Detrital Wash,1
Meadow Valley Wash,1
Havasu-Mohave Lakes,1
Lake Mead,1
Muddy Three,1
Imperial Reservoir,1
Piute Wash,1
White Two,1
Las Vegas Wash,1
