Blue,5
Tomichi,3
Eagle,5
East-Taylor,5
Colorado Headwaters,5
Piedra,3
Roaring Fork,5
Upper Yampa,6
North Fork Gunnison,6
Blanco Canyon,1
Upper Gunnison,6
Animas,3
Uncompahgre,6
Upper San Juan,3
Muddy Four,3
Upper White,5
Piceance-Yellow,3
Little Snake,3
Upper Gila,1
San Miguel,6
Lower Gunnison,6
Mancos,3
Vermilion,3
Chaco,1
Lower Yampa,3
Animas Valley,1
Colorado Headwaters-Plateau,3
McElmo,2
Middle San Juan,1
Upper Dolores,6
Upper Puerco,2
Lower Dolores,6
Upper Gila-Mangas,1
San Francisco,4
Carrizo Wash,1
Bitter,2
Montezuma,2
Little Colorado Headwaters,1
Lower White,3
Zuni,2
Westwater Canyon,3
San Simon,1
Big Sandy High,5
Upper Colorado-Kane Springs,2
Willow,3
Lower San Juan-Four Corners,2
Lower Green-Diamond,3
New Fork,5
Lower Puerco,1
White One,4
Black,4
Leroux Wash,2
Upper Little Colorado,1
Silver,2
Upper Green-Flaming Gorge Reservoir,3
Upper Green-Slate,2
Chinle,1
Upper San Pedro,1
Upper Gila-San Carlos Reservoir,1
Cottonwood Wash,2
Lower Green,1
Carrizo,4
Lower Green-Desolation Canyon,3
Upper Green,5
Dirty Devil,1
San Carlos,4
Jadito Wash,2
Blacks Fork,5
Lower San Juan,1
Lower San Pedro,1
Corn-Oraibi,2
Muddy One,3
Rillito,1
Chevelon Canyon,2
Polacca Wash,2
Upper Lake Powell,2
Upper Salt,4
Duchesne,3
Dinnebito Wash,2
Upper Santa Cruz,1
Strawberry,3
Middle Little Colorado,2
Price,3
Tonto,4
San Rafael,3
Moenkopi Wash,2
Brawley Wash,1
Muddy Two,3
Canyon Diablo,2
Escalante,2
Fremont,3
Aguirre Valley,1
Lower Verde,4
Lower Little Colorado,2
Lower Lake Powell,1
Lower Colorado-Marble Canyon,2
Lower Salt,4
Middle Gila,4
Paria,2
Lower Santa Cruz,1
Santa Rosa Wash,1
Upper Verde,4
Aqua Fria,4
Lower Gila-Painted Rock Reservoir,1
Havasu Canyon,2
Kanab,2
Hassayampa,2
Big Chino-Williamson Valley,4
Tenmile Wash,1
Santa Maria,4
Burro,4
Fort Pearce Wash,2
Centennial Wash,1
San Cristobal Wash,1
Grand Canyon,2
Big Sandy Low,1
Upper Virgin,2
Bill Williams,1
Grand Wash,2
Red Lake,1
Tyson Wash,1
Bouse Wash,1
Sacramento Wash,1
Lower Virgin,2
Lower Gila,1
Detrital Wash,1
Meadow Valley Wash,2
Havasu-Mohave Lakes,4
Lake Mead,2
Muddy Three,2
Imperial Reservoir,1
Piute Wash,1
White Two,2
Las Vegas Wash,2
