Blue,5
Tomichi,3
Eagle,5
East-Taylor,5
Colorado Headwaters,5
Piedra,3
Roaring Fork,5
Upper Yampa,5
North Fork Gunnison,3
Blanco Canyon,2
Upper Gunnison,3
Animas,3
Uncompahgre,3
Upper San Juan,3
Muddy Four,3
Upper White,5
Piceance-Yellow,4
Little Snake,3
Upper Gila,2
San Miguel,3
Lower Gunnison,3
Mancos,3
Vermilion,4
Chaco,2
Lower Yampa,1
Animas Valley,2
Colorado Headwaters-Plateau,3
McElmo,1
Middle San Juan,4
Upper Dolores,3
Upper Puerco,1
Lower Dolores,3
Upper Gila-Mangas,2
San Francisco,2
Carrizo Wash,2
Bitter,1
Montezuma,4
Little Colorado Headwaters,2
Lower White,4
Zuni,2
Westwater Canyon,4
San Simon,2
Big Sandy High,5
Upper Colorado-Kane Springs,1
Willow,4
Lower San Juan-Four Corners,1
Lower Green-Diamond,3
New Fork,5
Lower Puerco,2
White One,1
Black,2
Leroux Wash,2
Upper Little Colorado,2
Silver,2
Upper Green-Flaming Gorge Reservoir,3
Upper Green-Slate,1
Chinle,4
Upper San Pedro,2
Upper Gila-San Carlos Reservoir,2
Cottonwood Wash,2
Lower Green,4
Carrizo,1
Lower Green-Desolation Canyon,4
Upper Green,5
Dirty Devil,4
San Carlos,1
Jadito Wash,2
Blacks Fork,5
Lower San Juan,1
Lower San Pedro,2
Corn-Oraibi,1
Muddy One,3
Rillito,2
Chevelon Canyon,1
Polacca Wash,1
Upper Lake Powell,1
Upper Salt,1
Duchesne,3
Dinnebito Wash,1
Upper Santa Cruz,2
Strawberry,3
Middle Little Colorado,1
Price,3
Tonto,1
San Rafael,3
Moenkopi Wash,1
Brawley Wash,2
Muddy Two,3
Canyon Diablo,1
Escalante,1
Fremont,3
Aguirre Valley,2
Lower Verde,1
Lower Little Colorado,1
Lower Lake Powell,1
Lower Colorado-Marble Canyon,1
Lower Salt,2
Middle Gila,1
Paria,1
Lower Santa Cruz,1
Santa Rosa Wash,1
Upper Verde,1
Aqua Fria,1
Lower Gila-Painted Rock Reservoir,1
Havasu Canyon,4
Kanab,1
Hassayampa,1
Big Chino-Williamson Valley,2
Tenmile Wash,1
Santa Maria,4
Burro,4
Fort Pearce Wash,4
Centennial Wash,1
San Cristobal Wash,1
Grand Canyon,4
Big Sandy Low,4
Upper Virgin,1
Bill Williams,4
Grand Wash,4
Red Lake,4
Tyson Wash,2
Bouse Wash,2
Sacramento Wash,4
Lower Virgin,1
Lower Gila,2
Detrital Wash,4
Meadow Valley Wash,1
Havasu-Mohave Lakes,2
Lake Mead,4
Muddy Three,1
Imperial Reservoir,2
Piute Wash,4
White Two,1
Las Vegas Wash,1
