Blue,3
Tomichi,3
Eagle,3
East-Taylor,3
Colorado Headwaters,3
Piedra,1
Roaring Fork,3
Upper Yampa,2
North Fork Gunnison,3
Blanco Canyon,1
Upper Gunnison,3
Animas,3
Uncompahgre,3
Upper San Juan,1
Muddy Four,2
Upper White,3
Piceance-Yellow,2
Little Snake,2
Upper Gila,1
San Miguel,3
Lower Gunnison,3
Mancos,3
Vermilion,2
Chaco,1
Lower Yampa,2
Animas Valley,1
Colorado Headwaters-Plateau,2
McElmo,3
Middle San Juan,3
Upper Dolores,3
Upper Puerco,1
Lower Dolores,3
Upper Gila-Mangas,1
San Francisco,1
Carrizo Wash,1
Bitter,2
Montezuma,3
Little Colorado Headwaters,1
Lower White,2
Zuni,1
Westwater Canyon,2
San Simon,1
Big Sandy High,2
Upper Colorado-Kane Springs,3
Willow,2
Lower San Juan-Four Corners,3
Lower Green-Diamond,2
New Fork,2
Lower Puerco,1
White One,1
Black,1
Leroux Wash,1
Upper Little Colorado,1
Silver,1
Upper Green-Flaming Gorge Reservoir,2
Upper Green-Slate,2
Chinle,3
Upper San Pedro,1
Upper Gila-San Carlos Reservoir,1
Cottonwood Wash,1
Lower Green,2
Carrizo,1
Lower Green-Desolation Canyon,2
Upper Green,2
Dirty Devil,2
San Carlos,1
Jadito Wash,1
Blacks Fork,2
Lower San Juan,3
Lower San Pedro,1
Corn-Oraibi,1
Muddy One,2
Rillito,1
Chevelon Canyon,1
Polacca Wash,1
Upper Lake Powell,3
Upper Salt,1
Duchesne,2
Dinnebito Wash,1
Upper Santa Cruz,1
Strawberry,3
Middle Little Colorado,1
Price,3
Tonto,1
San Rafael,3
Moenkopi Wash,3
Brawley Wash,1
Muddy Two,3
Canyon Diablo,1
Escalante,3
Fremont,3
Aguirre Valley,1
Lower Verde,1
Lower Little Colorado,1
Lower Lake Powell,3
Lower Colorado-Marble Canyon,3
Lower Salt,2
Middle Gila,2
Paria,3
Lower Santa Cruz,2
Santa Rosa Wash,2
Upper Verde,1
Aqua Fria,2
Lower Gila-Painted Rock Reservoir,2
Havasu Canyon,1
Kanab,3
Hassayampa,1
Big Chino-Williamson Valley,1
Tenmile Wash,2
Santa Maria,1
Burro,1
Fort Pearce Wash,3
Centennial Wash,2
San Cristobal Wash,2
Grand Canyon,3
Big Sandy Low,1
Upper Virgin,3
Bill Williams,2
Grand Wash,3
Red Lake,3
Tyson Wash,2
Bouse Wash,2
Sacramento Wash,2
Lower Virgin,3
Lower Gila,2
Detrital Wash,2
Meadow Valley Wash,3
Havasu-Mohave Lakes,2
Lake Mead,2
Muddy Three,2
Imperial Reservoir,2
Piute Wash,2
White Two,2
Las Vegas Wash,2
