Blue,1
Tomichi,1
Eagle,1
East-Taylor,1
Colorado Headwaters,1
Piedra,1
Roaring Fork,1
Upper Yampa,1
North Fork Gunnison,1
Blanco Canyon,2
Upper Gunnison,1
Animas,1
Uncompahgre,1
Upper San Juan,1
Muddy Four,1
Upper White,1
Piceance-Yellow,1
Little Snake,1
Upper Gila,3
San Miguel,1
Lower Gunnison,1
Mancos,2
Vermilion,1
Chaco,3
Lower Yampa,1
Animas Valley,3
Colorado Headwaters-Plateau,1
McElmo,2
Middle San Juan,2
Upper Dolores,1
Upper Puerco,3
Lower Dolores,1
Upper Gila-Mangas,3
San Francisco,3
Carrizo Wash,3
Bitter,1
Montezuma,2
Little Colorado Headwaters,3
Lower White,2
Zuni,3
Westwater Canyon,2
San Simon,3
Big Sandy High,1
Upper Colorado-Kane Springs,2
Willow,1
Lower San Juan-Four Corners,2
Lower Green-Diamond,1
New Fork,1
Lower Puerco,3
White One,3
Black,3
Leroux Wash,3
Upper Little Colorado,3
Silver,3
Upper Green-Flaming Gorge Reservoir,1
Upper Green-Slate,1
Chinle,2
Upper San Pedro,3
Upper Gila-San Carlos Reservoir,3
Cottonwood Wash,3
Lower Green,2
Carrizo,3
Lower Green-Desolation Canyon,2
Upper Green,1
Dirty Devil,2
San Carlos,3
Jadito Wash,3
Blacks Fork,1
Lower San Juan,2
Lower San Pedro,3
Corn-Oraibi,2
Muddy One,1
Rillito,3
Chevelon Canyon,3
Polacca Wash,2
Upper Lake Powell,2
Upper Salt,3
Duchesne,1
Dinnebito Wash,2
Upper Santa Cruz,3
Strawberry,1
Middle Little Colorado,3
Price,1
Tonto,3
San Rafael,2
Moenkopi Wash,2
Brawley Wash,3
Muddy Two,2
Canyon Diablo,3
Escalante,2
Fremont,2
Aguirre Valley,3
Lower Verde,3
Lower Little Colorado,2
Lower Lake Powell,2
Lower Colorado-Marble Canyon,2
Lower Salt,4
Middle Gila,4
Paria,2
Lower Santa Cruz,4
Santa Rosa Wash,4
Upper Verde,2
Aqua Fria,4
Lower Gila-Painted Rock Reservoir,4
Havasu Canyon,2
Kanab,2
Hassayampa,4
Big Chino-Williamson Valley,3
Tenmile Wash,4
Santa Maria,4
Burro,4
Fort Pearce Wash,2
Centennial Wash,4
San Cristobal Wash,4
Grand Canyon,2
Big Sandy Low,4
Upper Virgin,2
Bill Williams,4
Grand Wash,4
Red Lake,4
Tyson Wash,4
Bouse Wash,4
Sacramento Wash,4
Lower Virgin,2
Lower Gila,4
Detrital Wash,4
Meadow Valley Wash,2
Havasu-Mohave Lakes,4
Lake Mead,4
Muddy Three,4
Imperial Reservoir,4
Piute Wash,4
White Two,2
Las Vegas Wash,4
