Blue,1
Tomichi,1
Eagle,1
East-Taylor,1
Colorado Headwaters,1
Piedra,1
Roaring Fork,1
Upper Yampa,1
North Fork Gunnison,1
Blanco Canyon,2
Upper Gunnison,1
Animas,1
Uncompahgre,1
Upper San Juan,1
Muddy Four,1
Upper White,1
Piceance-Yellow,1
Little Snake,1
Upper Gila,2
San Miguel,1
Lower Gunnison,1
Mancos,2
Vermilion,1
Chaco,2
Lower Yampa,1
Animas Valley,2
Colorado Headwaters-Plateau,1
McElmo,2
Middle San Juan,2
Upper Dolores,1
Upper Puerco,2
Lower Dolores,1
Upper Gila-Mangas,2
San Francisco,2
Carrizo Wash,2
Bitter,1
Montezuma,2
Little Colorado Headwaters,2
Lower White,1
Zuni,2
Westwater Canyon,1
San Simon,2
Big Sandy High,1
Upper Colorado-Kane Springs,1
Willow,1
Lower San Juan-Four Corners,2
Lower Green-Diamond,1
New Fork,1
Lower Puerco,2
White One,2
Black,2
Leroux Wash,2
Upper Little Colorado,2
Silver,2
Upper Green-Flaming Gorge Reservoir,1
Upper Green-Slate,1
Chinle,2
Upper San Pedro,2
Upper Gila-San Carlos Reservoir,2
Cottonwood Wash,2
Lower Green,1
Carrizo,3
Lower Green-Desolation Canyon,1
Upper Green,1
Dirty Devil,2
San Carlos,2
Jadito Wash,2
Blacks Fork,1
Lower San Juan,2
Lower San Pedro,2
Corn-Oraibi,2
Muddy One,1
Rillito,2
Chevelon Canyon,2
Polacca Wash,2
Upper Lake Powell,1
Upper Salt,3
Duchesne,1
Dinnebito Wash,2
Upper Santa Cruz,2
Strawberry,1
Middle Little Colorado,2
Price,1
Tonto,3
San Rafael,1
Moenkopi Wash,2
Brawley Wash,2
Muddy Two,1
Canyon Diablo,3
Escalante,3
Fremont,1
Aguirre Valley,2
Lower Verde,3
Lower Little Colorado,3
Lower Lake Powell,3
Lower Colorado-Marble Canyon,3
Lower Salt,3
Middle Gila,3
Paria,3
Lower Santa Cruz,2
Santa Rosa Wash,2
Upper Verde,3
Aqua Fria,3
Lower Gila-Painted Rock Reservoir,3
Havasu Canyon,3
Kanab,3
Hassayampa,3
Big Chino-Williamson Valley,3
Tenmile Wash,2
Santa Maria,3
Burro,3
Fort Pearce Wash,3
Centennial Wash,3
San Cristobal Wash,2
Grand Canyon,3
Big Sandy Low,3
Upper Virgin,3
Bill Williams,3
Grand Wash,3
Red Lake,3
Tyson Wash,3
Bouse Wash,3
Sacramento Wash,3
Lower Virgin,3
Lower Gila,3
Detrital Wash,3
Meadow Valley Wash,3
Havasu-Mohave Lakes,3
Lake Mead,3
Muddy Three,3
Imperial Reservoir,3
Piute Wash,3
White Two,1
Las Vegas Wash,3
