Blue,4
Tomichi,3
Eagle,4
East-Taylor,4
Colorado Headwaters,4
Piedra,3
Roaring Fork,4
Upper Yampa,4
North Fork Gunnison,3
Blanco Canyon,1
Upper Gunnison,3
Animas,3
Uncompahgre,3
Upper San Juan,3
Muddy Four,3
Upper White,4
Piceance-Yellow,3
Little Snake,3
Upper Gila,1
San Miguel,3
Lower Gunnison,3
Mancos,3
Vermilion,2
Chaco,1
Lower Yampa,2
Animas Valley,1
Colorado Headwaters-Plateau,3
McElmo,2
Middle San Juan,2
Upper Dolores,3
Upper Puerco,1
Lower Dolores,3
Upper Gila-Mangas,1
San Francisco,5
Carrizo Wash,1
Bitter,5
Montezuma,2
Little Colorado Headwaters,1
Lower White,2
Zuni,1
Westwater Canyon,2
San Simon,1
Big Sandy High,4
Upper Colorado-Kane Springs,2
Willow,2
Lower San Juan-Four Corners,2
Lower Green-Diamond,3
New Fork,4
Lower Puerco,1
White One,5
Black,1
Leroux Wash,1
Upper Little Colorado,1
Silver,1
Upper Green-Flaming Gorge Reservoir,3
Upper Green-Slate,2
Chinle,1
Upper San Pedro,1
Upper Gila-San Carlos Reservoir,1
Cottonwood Wash,1
Lower Green,1
Carrizo,5
Lower Green-Desolation Canyon,2
Upper Green,4
Dirty Devil,1
San Carlos,2
Jadito Wash,1
Blacks Fork,4
Lower San Juan,2
Lower San Pedro,1
Corn-Oraibi,1
Muddy One,2
Rillito,1
Chevelon Canyon,2
Polacca Wash,1
Upper Lake Powell,2
Upper Salt,5
Duchesne,3
Dinnebito Wash,1
Upper Santa Cruz,1
Strawberry,3
Middle Little Colorado,2
Price,3
Tonto,5
San Rafael,3
Moenkopi Wash,1
Brawley Wash,1
Muddy Two,3
Canyon Diablo,2
Escalante,2
Fremont,3
Aguirre Valley,1
Lower Verde,5
Lower Little Colorado,2
Lower Lake Powell,1
Lower Colorado-Marble Canyon,2
Lower Salt,5
Middle Gila,2
Paria,2
Lower Santa Cruz,1
Santa Rosa Wash,2
Upper Verde,5
Aqua Fria,2
Lower Gila-Painted Rock Reservoir,2
Havasu Canyon,2
Kanab,2
Hassayampa,2
Big Chino-Williamson Valley,1
Tenmile Wash,1
Santa Maria,2
Burro,2
Fort Pearce Wash,2
Centennial Wash,2
San Cristobal Wash,1
Grand Canyon,2
Big Sandy Low,1
Upper Virgin,2
Bill Williams,1
Grand Wash,2
Red Lake,1
Tyson Wash,1
Bouse Wash,1
Sacramento Wash,1
Lower Virgin,2
Lower Gila,2
Detrital Wash,1
Meadow Valley Wash,2
Havasu-Mohave Lakes,1
Lake Mead,2
Muddy Three,2
Imperial Reservoir,1
Piute Wash,1
White Two,2
Las Vegas Wash,2
