Blue,5
Tomichi,3
Eagle,5
East-Taylor,5
Colorado Headwaters,5
Piedra,3
Roaring Fork,5
Upper Yampa,5
North Fork Gunnison,5
Blanco Canyon,1
Upper Gunnison,5
Animas,3
Uncompahgre,3
Upper San Juan,3
Muddy Four,3
Upper White,5
Piceance-Yellow,3
Little Snake,3
Upper Gila,4
San Miguel,3
Lower Gunnison,3
Mancos,1
Vermilion,3
Chaco,1
Lower Yampa,3
Animas Valley,4
Colorado Headwaters-Plateau,3
McElmo,1
Middle San Juan,1
Upper Dolores,3
Upper Puerco,1
Lower Dolores,3
Upper Gila-Mangas,4
San Francisco,4
Carrizo Wash,1
Bitter,3
Montezuma,1
Little Colorado Headwaters,1
Lower White,3
Zuni,1
Westwater Canyon,1
San Simon,4
Big Sandy High,3
Upper Colorado-Kane Springs,1
Willow,3
Lower San Juan-Four Corners,1
Lower Green-Diamond,3
New Fork,5
Lower Puerco,1
White One,4
Black,4
Leroux Wash,1
Upper Little Colorado,1
Silver,1
Upper Green-Flaming Gorge Reservoir,3
Upper Green-Slate,3
Chinle,1
Upper San Pedro,4
Upper Gila-San Carlos Reservoir,4
Cottonwood Wash,1
Lower Green,1
Carrizo,4
Lower Green-Desolation Canyon,3
Upper Green,5
Dirty Devil,1
San Carlos,4
Jadito Wash,1
Blacks Fork,5
Lower San Juan,1
Lower San Pedro,4
Corn-Oraibi,1
Muddy One,3
Rillito,4
Chevelon Canyon,1
Polacca Wash,1
Upper Lake Powell,1
Upper Salt,4
Duchesne,3
Dinnebito Wash,1
Upper Santa Cruz,4
Strawberry,5
Middle Little Colorado,1
Price,3
Tonto,2
San Rafael,3
Moenkopi Wash,1
Brawley Wash,4
Muddy Two,1
Canyon Diablo,1
Escalante,1
Fremont,1
Aguirre Valley,4
Lower Verde,2
Lower Little Colorado,1
Lower Lake Powell,1
Lower Colorado-Marble Canyon,1
Lower Salt,2
Middle Gila,2
Paria,1
Lower Santa Cruz,2
Santa Rosa Wash,4
Upper Verde,1
Aqua Fria,2
Lower Gila-Painted Rock Reservoir,2
Havasu Canyon,1
Kanab,1
Hassayampa,2
Big Chino-Williamson Valley,1
Tenmile Wash,2
Santa Maria,2
Burro,2
Fort Pearce Wash,1
Centennial Wash,2
San Cristobal Wash,2
Grand Canyon,1
Big Sandy Low,2
Upper Virgin,1
Bill Williams,2
Grand Wash,2
Red Lake,2
Tyson Wash,2
Bouse Wash,2
Sacramento Wash,2
Lower Virgin,2
Lower Gila,2
Detrital Wash,2
Meadow Valley Wash,1
Havasu-Mohave Lakes,2
Lake Mead,2
Muddy Three,2
Imperial Reservoir,2
Piute Wash,2
White Two,1
Las Vegas Wash,2
