Blue,6
Tomichi,6
Eagle,6
East-Taylor,6
Colorado Headwaters,6
Piedra,6
Roaring Fork,6
Upper Yampa,6
North Fork Gunnison,6
Blanco Canyon,1
Upper Gunnison,6
Animas,6
Uncompahgre,6
Upper San Juan,6
Muddy Four,5
Upper White,6
Piceance-Yellow,5
Little Snake,5
Upper Gila,1
San Miguel,6
Lower Gunnison,6
Mancos,2
Vermilion,5
Chaco,2
Lower Yampa,5
Animas Valley,1
Colorado Headwaters-Plateau,6
McElmo,2
Middle San Juan,2
Upper Dolores,2
Upper Puerco,1
Lower Dolores,2
Upper Gila-Mangas,1
San Francisco,1
Carrizo Wash,1
Bitter,5
Montezuma,2
Little Colorado Headwaters,1
Lower White,5
Zuni,1
Westwater Canyon,2
San Simon,1
Big Sandy High,5
Upper Colorado-Kane Springs,2
Willow,5
Lower San Juan-Four Corners,2
Lower Green-Diamond,5
New Fork,5
Lower Puerco,1
White One,1
Black,1
Leroux Wash,1
Upper Little Colorado,1
Silver,1
Upper Green-Flaming Gorge Reservoir,5
Upper Green-Slate,5
Chinle,2
Upper San Pedro,1
Upper Gila-San Carlos Reservoir,1
Cottonwood Wash,1
Lower Green,2
Carrizo,1
Lower Green-Desolation Canyon,5
Upper Green,5
Dirty Devil,2
San Carlos,1
Jadito Wash,2
Blacks Fork,5
Lower San Juan,2
Lower San Pedro,1
Corn-Oraibi,2
Muddy One,5
Rillito,1
Chevelon Canyon,1
Polacca Wash,2
Upper Lake Powell,2
Upper Salt,4
Duchesne,5
Dinnebito Wash,2
Upper Santa Cruz,1
Strawberry,5
Middle Little Colorado,1
Price,5
Tonto,4
San Rafael,2
Moenkopi Wash,2
Brawley Wash,4
Muddy Two,2
Canyon Diablo,3
Escalante,2
Fremont,2
Aguirre Valley,4
Lower Verde,4
Lower Little Colorado,2
Lower Lake Powell,2
Lower Colorado-Marble Canyon,3
Lower Salt,4
Middle Gila,4
Paria,3
Lower Santa Cruz,4
Santa Rosa Wash,4
Upper Verde,3
Aqua Fria,4
Lower Gila-Painted Rock Reservoir,4
Havasu Canyon,3
Kanab,3
Hassayampa,4
Big Chino-Williamson Valley,3
Tenmile Wash,4
Santa Maria,4
Burro,3
Fort Pearce Wash,3
Centennial Wash,4
San Cristobal Wash,4
Grand Canyon,3
Big Sandy Low,3
Upper Virgin,3
Bill Williams,4
Grand Wash,3
Red Lake,3
Tyson Wash,4
Bouse Wash,4
Sacramento Wash,3
Lower Virgin,3
Lower Gila,4
Detrital Wash,3
Meadow Valley Wash,3
Havasu-Mohave Lakes,3
Lake Mead,3
Muddy Three,3
Imperial Reservoir,4
Piute Wash,3
White Two,3
Las Vegas Wash,3
