Blue,6
Tomichi,6
Eagle,6
East-Taylor,6
Colorado Headwaters,6
Piedra,3
Roaring Fork,4
Upper Yampa,5
North Fork Gunnison,5
Blanco Canyon,1
Upper Gunnison,5
Animas,5
Uncompahgre,5
Upper San Juan,3
Muddy Four,4
Upper White,6
Piceance-Yellow,3
Little Snake,4
Upper Gila,1
San Miguel,5
Lower Gunnison,3
Mancos,1
Vermilion,1
Chaco,1
Lower Yampa,3
Animas Valley,1
Colorado Headwaters-Plateau,3
McElmo,1
Middle San Juan,1
Upper Dolores,5
Upper Puerco,1
Lower Dolores,5
Upper Gila-Mangas,1
San Francisco,1
Carrizo Wash,1
Bitter,3
Montezuma,1
Little Colorado Headwaters,1
Lower White,1
Zuni,1
Westwater Canyon,1
San Simon,1
Big Sandy High,4
Upper Colorado-Kane Springs,1
Willow,3
Lower San Juan-Four Corners,1
Lower Green-Diamond,3
New Fork,4
Lower Puerco,1
White One,2
Black,2
Leroux Wash,1
Upper Little Colorado,1
Silver,1
Upper Green-Flaming Gorge Reservoir,4
Upper Green-Slate,3
Chinle,1
Upper San Pedro,1
Upper Gila-San Carlos Reservoir,1
Cottonwood Wash,1
Lower Green,1
Carrizo,2
Lower Green-Desolation Canyon,1
Upper Green,4
Dirty Devil,1
San Carlos,1
Jadito Wash,1
Blacks Fork,4
Lower San Juan,1
Lower San Pedro,1
Corn-Oraibi,1
Muddy One,3
Rillito,1
Chevelon Canyon,3
Polacca Wash,1
Upper Lake Powell,1
Upper Salt,2
Duchesne,4
Dinnebito Wash,1
Upper Santa Cruz,1
Strawberry,3
Middle Little Colorado,3
Price,3
Tonto,2
San Rafael,3
Moenkopi Wash,1
Brawley Wash,1
Muddy Two,3
Canyon Diablo,3
Escalante,1
Fremont,3
Aguirre Valley,2
Lower Verde,2
Lower Little Colorado,3
Lower Lake Powell,1
Lower Colorado-Marble Canyon,3
Lower Salt,2
Middle Gila,2
Paria,1
Lower Santa Cruz,2
Santa Rosa Wash,2
Upper Verde,2
Aqua Fria,2
Lower Gila-Painted Rock Reservoir,2
Havasu Canyon,1
Kanab,3
Hassayampa,2
Big Chino-Williamson Valley,2
Tenmile Wash,2
Santa Maria,2
Burro,2
Fort Pearce Wash,3
Centennial Wash,2
San Cristobal Wash,2
Grand Canyon,3
Big Sandy Low,2
Upper Virgin,3
Bill Williams,2
Grand Wash,3
Red Lake,2
Tyson Wash,2
Bouse Wash,2
Sacramento Wash,2
Lower Virgin,3
Lower Gila,2
Detrital Wash,2
Meadow Valley Wash,3
Havasu-Mohave Lakes,2
Lake Mead,2
Muddy Three,3
Imperial Reservoir,2
Piute Wash,2
White Two,3
Las Vegas Wash,3
