Blue,5
Tomichi,5
Eagle,5
East-Taylor,5
Colorado Headwaters,5
Piedra,4
Roaring Fork,5
Upper Yampa,4
North Fork Gunnison,4
Blanco Canyon,3
Upper Gunnison,4
Animas,4
Uncompahgre,4
Upper San Juan,4
Muddy Four,5
Upper White,5
Piceance-Yellow,3
Little Snake,4
Upper Gila,1
San Miguel,4
Lower Gunnison,3
Mancos,4
Vermilion,3
Chaco,3
Lower Yampa,2
Animas Valley,1
Colorado Headwaters-Plateau,2
McElmo,3
Middle San Juan,2
Upper Dolores,4
Upper Puerco,1
Lower Dolores,3
Upper Gila-Mangas,1
San Francisco,1
Carrizo Wash,1
Bitter,2
Montezuma,2
Little Colorado Headwaters,1
Lower White,3
Zuni,1
Westwater Canyon,3
San Simon,1
Big Sandy High,4
Upper Colorado-Kane Springs,2
Willow,3
Lower San Juan-Four Corners,3
Lower Green-Diamond,3
New Fork,5
Lower Puerco,1
White One,1
Black,1
Leroux Wash,1
Upper Little Colorado,1
Silver,1
Upper Green-Flaming Gorge Reservoir,4
Upper Green-Slate,2
Chinle,3
Upper San Pedro,1
Upper Gila-San Carlos Reservoir,1
Cottonwood Wash,1
Lower Green,3
Carrizo,1
Lower Green-Desolation Canyon,3
Upper Green,5
Dirty Devil,1
San Carlos,2
Jadito Wash,1
Blacks Fork,5
Lower San Juan,3
Lower San Pedro,1
Corn-Oraibi,1
Muddy One,2
Rillito,1
Chevelon Canyon,1
Polacca Wash,1
Upper Lake Powell,2
Upper Salt,1
Duchesne,5
Dinnebito Wash,1
Upper Santa Cruz,1
Strawberry,2
Middle Little Colorado,1
Price,2
Tonto,1
San Rafael,4
Moenkopi Wash,1
Brawley Wash,1
Muddy Two,2
Canyon Diablo,2
Escalante,2
Fremont,2
Aguirre Valley,1
Lower Verde,1
Lower Little Colorado,1
Lower Lake Powell,3
Lower Colorado-Marble Canyon,2
Lower Salt,1
Middle Gila,1
Paria,2
Lower Santa Cruz,1
Santa Rosa Wash,1
Upper Verde,1
Aqua Fria,2
Lower Gila-Painted Rock Reservoir,1
Havasu Canyon,3
Kanab,2
Hassayampa,2
Big Chino-Williamson Valley,1
Tenmile Wash,1
Santa Maria,3
Burro,3
Fort Pearce Wash,2
Centennial Wash,2
San Cristobal Wash,1
Grand Canyon,2
Big Sandy Low,3
Upper Virgin,2
Bill Williams,3
Grand Wash,2
Red Lake,3
Tyson Wash,1
Bouse Wash,3
Sacramento Wash,3
Lower Virgin,2
Lower Gila,1
Detrital Wash,3
Meadow Valley Wash,2
Havasu-Mohave Lakes,3
Lake Mead,3
Muddy Three,2
Imperial Reservoir,3
Piute Wash,3
White Two,2
Las Vegas Wash,2
