Blue,5
Tomichi,5
Eagle,5
East-Taylor,5
Colorado Headwaters,5
Piedra,5
Roaring Fork,5
Upper Yampa,5
North Fork Gunnison,5
Blanco Canyon,2
Upper Gunnison,5
Animas,5
Uncompahgre,5
Upper San Juan,3
Muddy Four,3
Upper White,5
Piceance-Yellow,3
Little Snake,3
Upper Gila,1
San Miguel,5
Lower Gunnison,3
Mancos,2
Vermilion,3
Chaco,2
Lower Yampa,3
Animas Valley,1
Colorado Headwaters-Plateau,3
McElmo,2
Middle San Juan,2
Upper Dolores,3
Upper Puerco,1
Lower Dolores,3
Upper Gila-Mangas,1
San Francisco,1
Carrizo Wash,1
Bitter,3
Montezuma,2
Little Colorado Headwaters,1
Lower White,3
Zuni,1
Westwater Canyon,2
San Simon,1
Big Sandy High,3
Upper Colorado-Kane Springs,2
Willow,3
Lower San Juan-Four Corners,2
Lower Green-Diamond,3
New Fork,5
Lower Puerco,1
White One,1
Black,1
Leroux Wash,2
Upper Little Colorado,1
Silver,1
Upper Green-Flaming Gorge Reservoir,3
Upper Green-Slate,3
Chinle,2
Upper San Pedro,1
Upper Gila-San Carlos Reservoir,1
Cottonwood Wash,2
Lower Green,2
Carrizo,1
Lower Green-Desolation Canyon,3
Upper Green,5
Dirty Devil,2
San Carlos,1
Jadito Wash,2
Blacks Fork,3
Lower San Juan,2
Lower San Pedro,1
Corn-Oraibi,2
Muddy One,3
Rillito,1
Chevelon Canyon,1
Polacca Wash,2
Upper Lake Powell,2
Upper Salt,1
Duchesne,3
Dinnebito Wash,2
Upper Santa Cruz,1
Strawberry,3
Middle Little Colorado,1
Price,3
Tonto,1
San Rafael,3
Moenkopi Wash,2
Brawley Wash,1
Muddy Two,2
Canyon Diablo,1
Escalante,2
Fremont,2
Aguirre Valley,1
Lower Verde,1
Lower Little Colorado,1
Lower Lake Powell,2
Lower Colorado-Marble Canyon,2
Lower Salt,4
Middle Gila,4
Paria,2
Lower Santa Cruz,4
Santa Rosa Wash,1
Upper Verde,1
Aqua Fria,4
Lower Gila-Painted Rock Reservoir,4
Havasu Canyon,1
Kanab,2
Hassayampa,4
Big Chino-Williamson Valley,1
Tenmile Wash,4
Santa Maria,1
Burro,1
Fort Pearce Wash,2
Centennial Wash,4
San Cristobal Wash,4
Grand Canyon,1
Big Sandy Low,1
Upper Virgin,2
Bill Williams,4
Grand Wash,2
Red Lake,1
Tyson Wash,4
Bouse Wash,4
Sacramento Wash,4
Lower Virgin,2
Lower Gila,4
Detrital Wash,4
Meadow Valley Wash,2
Havasu-Mohave Lakes,4
Lake Mead,4
Muddy Three,4
Imperial Reservoir,4
Piute Wash,4
White Two,2
Las Vegas Wash,4
