Blue,6
Tomichi,6
Eagle,6
East-Taylor,6
Colorado Headwaters,6
Piedra,5
Roaring Fork,6
Upper Yampa,5
North Fork Gunnison,5
Blanco Canyon,3
Upper Gunnison,5
Animas,5
Uncompahgre,5
Upper San Juan,5
Muddy Four,4
Upper White,6
Piceance-Yellow,4
Little Snake,5
Upper Gila,1
San Miguel,5
Lower Gunnison,4
Mancos,5
Vermilion,4
Chaco,1
Lower Yampa,5
Animas Valley,2
Colorado Headwaters-Plateau,4
McElmo,3
Middle San Juan,3
Upper Dolores,5
Upper Puerco,1
Lower Dolores,4
Upper Gila-Mangas,2
San Francisco,1
Carrizo Wash,2
Bitter,3
Montezuma,3
Little Colorado Headwaters,2
Lower White,4
Zuni,1
Westwater Canyon,4
San Simon,2
Big Sandy High,6
Upper Colorado-Kane Springs,3
Willow,4
Lower San Juan-Four Corners,3
Lower Green-Diamond,4
New Fork,6
Lower Puerco,1
White One,1
Black,2
Leroux Wash,1
Upper Little Colorado,1
Silver,1
Upper Green-Flaming Gorge Reservoir,5
Upper Green-Slate,3
Chinle,1
Upper San Pedro,2
Upper Gila-San Carlos Reservoir,2
Cottonwood Wash,1
Lower Green,3
Carrizo,1
Lower Green-Desolation Canyon,4
Upper Green,6
Dirty Devil,1
San Carlos,1
Jadito Wash,1
Blacks Fork,5
Lower San Juan,3
Lower San Pedro,2
Corn-Oraibi,1
Muddy One,4
Rillito,2
Chevelon Canyon,1
Polacca Wash,1
Upper Lake Powell,3
Upper Salt,2
Duchesne,4
Dinnebito Wash,1
Upper Santa Cruz,2
Strawberry,4
Middle Little Colorado,1
Price,4
Tonto,2
San Rafael,5
Moenkopi Wash,1
Brawley Wash,2
Muddy Two,5
Canyon Diablo,1
Escalante,3
Fremont,3
Aguirre Valley,2
Lower Verde,2
Lower Little Colorado,1
Lower Lake Powell,1
Lower Colorado-Marble Canyon,3
Lower Salt,2
Middle Gila,1
Paria,3
Lower Santa Cruz,1
Santa Rosa Wash,2
Upper Verde,1
Aqua Fria,1
Lower Gila-Painted Rock Reservoir,1
Havasu Canyon,1
Kanab,3
Hassayampa,1
Big Chino-Williamson Valley,2
Tenmile Wash,2
Santa Maria,2
Burro,2
Fort Pearce Wash,3
Centennial Wash,1
San Cristobal Wash,2
Grand Canyon,3
Big Sandy Low,2
Upper Virgin,3
Bill Williams,2
Grand Wash,4
Red Lake,1
Tyson Wash,2
Bouse Wash,2
Sacramento Wash,2
Lower Virgin,4
Lower Gila,2
Detrital Wash,2
Meadow Valley Wash,3
Havasu-Mohave Lakes,2
Lake Mead,1
Muddy Three,3
Imperial Reservoir,2
Piute Wash,2
White Two,3
Las Vegas Wash,3
