Blue,1
Tomichi,1
Eagle,1
East-Taylor,1
Colorado Headwaters,1
Piedra,2
Roaring Fork,1
Upper Yampa,1
North Fork Gunnison,1
Blanco Canyon,3
Upper Gunnison,1
Animas,1
Uncompahgre,1
Upper San Juan,1
Muddy Four,1
Upper White,1
Piceance-Yellow,1
Little Snake,1
Upper Gila,2
San Miguel,1
Lower Gunnison,1
Mancos,1
Vermilion,1
Chaco,3
Lower Yampa,1
Animas Valley,3
Colorado Headwaters-Plateau,1
McElmo,1
Middle San Juan,1
Upper Dolores,1
Upper Puerco,2
Lower Dolores,1
Upper Gila-Mangas,2
San Francisco,2
Carrizo Wash,2
Bitter,1
Montezuma,1
Little Colorado Headwaters,2
Lower White,1
Zuni,2
Westwater Canyon,1
San Simon,3
Big Sandy High,1
Upper Colorado-Kane Springs,1
Willow,1
Lower San Juan-Four Corners,1
Lower Green-Diamond,1
New Fork,1
Lower Puerco,3
White One,2
Black,2
Leroux Wash,3
Upper Little Colorado,2
Silver,2
Upper Green-Flaming Gorge Reservoir,1
Upper Green-Slate,1
Chinle,3
Upper San Pedro,2
Upper Gila-San Carlos Reservoir,2
Cottonwood Wash,3
Lower Green,1
Carrizo,2
Lower Green-Desolation Canyon,1
Upper Green,1
Dirty Devil,1
San Carlos,2
Jadito Wash,3
Blacks Fork,1
Lower San Juan,1
Lower San Pedro,2
Corn-Oraibi,1
Muddy One,1
Rillito,3
Chevelon Canyon,2
Polacca Wash,3
Upper Lake Powell,1
Upper Salt,2
Duchesne,1
Dinnebito Wash,2
Upper Santa Cruz,3
Strawberry,1
Middle Little Colorado,2
Price,1
Tonto,2
San Rafael,1
Moenkopi Wash,1
Brawley Wash,3
Muddy Two,1
Canyon Diablo,2
Escalante,1
Fremont,1
Aguirre Valley,3
Lower Verde,2
Lower Little Colorado,2
Lower Lake Powell,1
Lower Colorado-Marble Canyon,1
Lower Salt,3
Middle Gila,3
Paria,1
Lower Santa Cruz,3
Santa Rosa Wash,3
Upper Verde,2
Aqua Fria,3
Lower Gila-Painted Rock Reservoir,3
Havasu Canyon,2
Kanab,1
Hassayampa,3
Big Chino-Williamson Valley,2
Tenmile Wash,3
Santa Maria,2
Burro,2
Fort Pearce Wash,1
Centennial Wash,3
San Cristobal Wash,3
Grand Canyon,1
Big Sandy Low,1
Upper Virgin,1
Bill Williams,3
Grand Wash,1
Red Lake,1
Tyson Wash,3
Bouse Wash,3
Sacramento Wash,1
Lower Virgin,1
Lower Gila,3
Detrital Wash,1
Meadow Valley Wash,1
Havasu-Mohave Lakes,3
Lake Mead,1
Muddy Three,1
Imperial Reservoir,3
Piute Wash,1
White Two,1
Las Vegas Wash,1
