Blue,5
Tomichi,5
Eagle,5
East-Taylor,5
Colorado Headwaters,5
Piedra,5
Roaring Fork,5
Upper Yampa,5
North Fork Gunnison,5
Blanco Canyon,4
Upper Gunnison,5
Animas,5
Uncompahgre,5
Upper San Juan,4
Muddy Four,3
Upper White,5
Piceance-Yellow,3
Little Snake,3
Upper Gila,1
San Miguel,5
Lower Gunnison,5
Mancos,4
Vermilion,3
Chaco,4
Lower Yampa,3
Animas Valley,1
Colorado Headwaters-Plateau,5
McElmo,4
Middle San Juan,4
Upper Dolores,4
Upper Puerco,4
Lower Dolores,3
Upper Gila-Mangas,1
San Francisco,1
Carrizo Wash,1
Bitter,3
Montezuma,4
Little Colorado Headwaters,1
Lower White,3
Zuni,4
Westwater Canyon,3
San Simon,1
Big Sandy High,3
Upper Colorado-Kane Springs,4
Willow,3
Lower San Juan-Four Corners,4
Lower Green-Diamond,3
New Fork,3
Lower Puerco,4
White One,1
Black,1
Leroux Wash,4
Upper Little Colorado,1
Silver,1
Upper Green-Flaming Gorge Reservoir,3
Upper Green-Slate,3
Chinle,4
Upper San Pedro,1
Upper Gila-San Carlos Reservoir,1
Cottonwood Wash,4
Lower Green,3
Carrizo,1
Lower Green-Desolation Canyon,3
Upper Green,3
Dirty Devil,4
San Carlos,1
Jadito Wash,4
Blacks Fork,3
Lower San Juan,4
Lower San Pedro,1
Corn-Oraibi,4
Muddy One,3
Rillito,1
Chevelon Canyon,1
Polacca Wash,4
Upper Lake Powell,4
Upper Salt,1
Duchesne,3
Dinnebito Wash,4
Upper Santa Cruz,1
Strawberry,3
Middle Little Colorado,1
Price,3
Tonto,1
San Rafael,3
Moenkopi Wash,4
Brawley Wash,1
Muddy Two,3
Canyon Diablo,1
Escalante,2
Fremont,3
Aguirre Valley,1
Lower Verde,1
Lower Little Colorado,4
Lower Lake Powell,4
Lower Colorado-Marble Canyon,2
Lower Salt,1
Middle Gila,1
Paria,2
Lower Santa Cruz,1
Santa Rosa Wash,1
Upper Verde,2
Aqua Fria,2
Lower Gila-Painted Rock Reservoir,1
Havasu Canyon,2
Kanab,2
Hassayampa,2
Big Chino-Williamson Valley,2
Tenmile Wash,1
Santa Maria,2
Burro,2
Fort Pearce Wash,2
Centennial Wash,2
San Cristobal Wash,1
Grand Canyon,2
Big Sandy Low,2
Upper Virgin,2
Bill Williams,2
Grand Wash,2
Red Lake,2
Tyson Wash,2
Bouse Wash,2
Sacramento Wash,2
Lower Virgin,2
Lower Gila,2
Detrital Wash,2
Meadow Valley Wash,2
Havasu-Mohave Lakes,2
Lake Mead,2
Muddy Three,2
Imperial Reservoir,2
Piute Wash,2
White Two,3
Las Vegas Wash,2
