Blue,4
Tomichi,4
Eagle,4
East-Taylor,4
Colorado Headwaters,4
Piedra,1
Roaring Fork,5
Upper Yampa,4
North Fork Gunnison,4
Blanco Canyon,3
Upper Gunnison,4
Animas,4
Uncompahgre,4
Upper San Juan,1
Muddy Four,1
Upper White,4
Piceance-Yellow,5
Little Snake,4
Upper Gila,2
San Miguel,4
Lower Gunnison,1
Mancos,1
Vermilion,5
Chaco,3
Lower Yampa,1
Animas Valley,3
Colorado Headwaters-Plateau,1
McElmo,3
Middle San Juan,3
Upper Dolores,1
Upper Puerco,1
Lower Dolores,1
Upper Gila-Mangas,3
San Francisco,2
Carrizo Wash,3
Bitter,1
Montezuma,3
Little Colorado Headwaters,1
Lower White,3
Zuni,1
Westwater Canyon,1
San Simon,3
Big Sandy High,5
Upper Colorado-Kane Springs,1
Willow,1
Lower San Juan-Four Corners,3
Lower Green-Diamond,5
New Fork,5
Lower Puerco,3
White One,2
Black,2
Leroux Wash,3
Upper Little Colorado,3
Silver,1
Upper Green-Flaming Gorge Reservoir,5
Upper Green-Slate,1
Chinle,3
Upper San Pedro,3
Upper Gila-San Carlos Reservoir,3
Cottonwood Wash,1
Lower Green,3
Carrizo,2
Lower Green-Desolation Canyon,3
Upper Green,5
Dirty Devil,3
San Carlos,2
Jadito Wash,3
Blacks Fork,5
Lower San Juan,3
Lower San Pedro,3
Corn-Oraibi,1
Muddy One,1
Rillito,3
Chevelon Canyon,1
Polacca Wash,1
Upper Lake Powell,3
Upper Salt,2
Duchesne,5
Dinnebito Wash,1
Upper Santa Cruz,3
Strawberry,5
Middle Little Colorado,1
Price,1
Tonto,2
San Rafael,5
Moenkopi Wash,1
Brawley Wash,3
Muddy Two,1
Canyon Diablo,1
Escalante,1
Fremont,1
Aguirre Valley,2
Lower Verde,2
Lower Little Colorado,1
Lower Lake Powell,3
Lower Colorado-Marble Canyon,1
Lower Salt,2
Middle Gila,2
Paria,3
Lower Santa Cruz,2
Santa Rosa Wash,2
Upper Verde,2
Aqua Fria,2
Lower Gila-Painted Rock Reservoir,2
Havasu Canyon,3
Kanab,1
Hassayampa,2
Big Chino-Williamson Valley,2
Tenmile Wash,2
Santa Maria,2
Burro,2
Fort Pearce Wash,1
Centennial Wash,2
San Cristobal Wash,2
Grand Canyon,1
Big Sandy Low,2
Upper Virgin,1
Bill Williams,2
Grand Wash,1
Red Lake,3
Tyson Wash,2
Bouse Wash,2
Sacramento Wash,2
Lower Virgin,1
Lower Gila,2
Detrital Wash,2
Meadow Valley Wash,1
Havasu-Mohave Lakes,2
Lake Mead,2
Muddy Three,1
Imperial Reservoir,2
Piute Wash,2
White Two,1
Las Vegas Wash,1
