Blue,1
Tomichi,1
Eagle,1
East-Taylor,1
Colorado Headwaters,1
Piedra,1
Roaring Fork,1
Upper Yampa,1
North Fork Gunnison,1
Blanco Canyon,2
Upper Gunnison,1
Animas,2
Uncompahgre,1
Upper San Juan,2
Muddy Four,1
Upper White,1
Piceance-Yellow,1
Little Snake,1
Upper Gila,2
San Miguel,2
Lower Gunnison,1
Mancos,2
Vermilion,1
Chaco,2
Lower Yampa,1
Animas Valley,2
Colorado Headwaters-Plateau,1
McElmo,2
Middle San Juan,2
Upper Dolores,2
Upper Puerco,2
Lower Dolores,1
Upper Gila-Mangas,2
San Francisco,2
Carrizo Wash,2
Bitter,1
Montezuma,2
Little Colorado Headwaters,2
Lower White,1
Zuni,2
Westwater Canyon,1
San Simon,2
Big Sandy High,1
Upper Colorado-Kane Springs,2
Willow,1
Lower San Juan-Four Corners,2
Lower Green-Diamond,1
New Fork,1
Lower Puerco,2
White One,2
Black,2
Leroux Wash,2
Upper Little Colorado,2
Silver,2
Upper Green-Flaming Gorge Reservoir,1
Upper Green-Slate,1
Chinle,2
Upper San Pedro,1
Upper Gila-San Carlos Reservoir,2
Cottonwood Wash,2
Lower Green,1
Carrizo,2
Lower Green-Desolation Canyon,1
Upper Green,1
Dirty Devil,2
San Carlos,2
Jadito Wash,2
Blacks Fork,1
Lower San Juan,2
Lower San Pedro,1
Corn-Oraibi,2
Muddy One,1
Rillito,1
Chevelon Canyon,2
Polacca Wash,2
Upper Lake Powell,2
Upper Salt,2
Duchesne,1
Dinnebito Wash,2
Upper Santa Cruz,1
Strawberry,1
Middle Little Colorado,2
Price,1
Tonto,2
San Rafael,1
Moenkopi Wash,2
Brawley Wash,1
Muddy Two,2
Canyon Diablo,2
Escalante,2
Fremont,2
Aguirre Valley,1
Lower Verde,2
Lower Little Colorado,2
Lower Lake Powell,2
Lower Colorado-Marble Canyon,2
Lower Salt,1
Middle Gila,1
Paria,2
Lower Santa Cruz,1
Santa Rosa Wash,1
Upper Verde,2
Aqua Fria,1
Lower Gila-Painted Rock Reservoir,1
Havasu Canyon,2
Kanab,2
Hassayampa,1
Big Chino-Williamson Valley,2
Tenmile Wash,1
Santa Maria,1
Burro,1
Fort Pearce Wash,2
Centennial Wash,1
San Cristobal Wash,1
Grand Canyon,2
Big Sandy Low,1
Upper Virgin,2
Bill Williams,1
Grand Wash,2
Red Lake,1
Tyson Wash,1
Bouse Wash,1
Sacramento Wash,1
Lower Virgin,2
Lower Gila,1
Detrital Wash,1
Meadow Valley Wash,2
Havasu-Mohave Lakes,1
Lake Mead,1
Muddy Three,2
Imperial Reservoir,1
Piute Wash,1
White Two,1
Las Vegas Wash,1
