Blue,6
Tomichi,4
Eagle,6
East-Taylor,6
Colorado Headwaters,6
Piedra,4
Roaring Fork,6
Upper Yampa,6
North Fork Gunnison,4
Blanco Canyon,2
Upper Gunnison,4
Animas,4
Uncompahgre,4
Upper San Juan,4
Muddy Four,3
Upper White,6
Piceance-Yellow,5
Little Snake,4
Upper Gila,1
San Miguel,4
Lower Gunnison,4
Mancos,4
Vermilion,1
Chaco,2
Lower Yampa,3
Animas Valley,2
Colorado Headwaters-Plateau,5
McElmo,3
Middle San Juan,3
Upper Dolores,4
Upper Puerco,1
Lower Dolores,4
Upper Gila-Mangas,2
San Francisco,1
Carrizo Wash,2
Bitter,3
Montezuma,3
Little Colorado Headwaters,2
Lower White,5
Zuni,1
Westwater Canyon,3
San Simon,2
Big Sandy High,6
Upper Colorado-Kane Springs,3
Willow,3
Lower San Juan-Four Corners,1
Lower Green-Diamond,5
New Fork,5
Lower Puerco,2
White One,1
Black,1
Leroux Wash,1
Upper Little Colorado,2
Silver,1
Upper Green-Flaming Gorge Reservoir,4
Upper Green-Slate,3
Chinle,1
Upper San Pedro,2
Upper Gila-San Carlos Reservoir,2
Cottonwood Wash,1
Lower Green,1
Carrizo,1
Lower Green-Desolation Canyon,3
Upper Green,5
Dirty Devil,2
San Carlos,1
Jadito Wash,1
Blacks Fork,4
Lower San Juan,1
Lower San Pedro,2
Corn-Oraibi,1
Muddy One,3
Rillito,2
Chevelon Canyon,1
Polacca Wash,1
Upper Lake Powell,3
Upper Salt,2
Duchesne,5
Dinnebito Wash,1
Upper Santa Cruz,2
Strawberry,5
Middle Little Colorado,1
Price,5
Tonto,2
San Rafael,4
Moenkopi Wash,1
Brawley Wash,2
Muddy Two,4
Canyon Diablo,1
Escalante,3
Fremont,3
Aguirre Valley,2
Lower Verde,2
Lower Little Colorado,1
Lower Lake Powell,1
Lower Colorado-Marble Canyon,3
Lower Salt,2
Middle Gila,2
Paria,3
Lower Santa Cruz,2
Santa Rosa Wash,2
Upper Verde,1
Aqua Fria,1
Lower Gila-Painted Rock Reservoir,1
Havasu Canyon,1
Kanab,3
Hassayampa,1
Big Chino-Williamson Valley,2
Tenmile Wash,2
Santa Maria,1
Burro,1
Fort Pearce Wash,3
Centennial Wash,1
San Cristobal Wash,2
Grand Canyon,3
Big Sandy Low,1
Upper Virgin,3
Bill Williams,1
Grand Wash,3
Red Lake,2
Tyson Wash,2
Bouse Wash,2
Sacramento Wash,1
Lower Virgin,3
Lower Gila,1
Detrital Wash,1
Meadow Valley Wash,3
Havasu-Mohave Lakes,1
Lake Mead,1
Muddy Three,3
Imperial Reservoir,2
Piute Wash,1
White Two,3
Las Vegas Wash,3
